Disease,Desciption
Leishmaniasis,Leishmaniasis Leishmaniasis is a disease caused by protozoan parasites that belong to the genus Leishmania and is transmitted by the bite of certain species of sand fly (subfamily Phlebotominae). Although the majority of the literature mentions only one genus transmitting Leishmania to humans (Lutzomyia) in the US
Chagas disease,Chagas disease Also known as T Cruzi
Syringomyelia,Syringomyelia Syringomyelia /sjÌrjKaumajÈiÐliY/ is a generic term referring to a disorder in which a cyst or cavity forms within the spinal cord. This cyst
Pulmonary fibrosis,"Pulmonary fibrosis Also known as Lung Cirrhosis Pulmonary fibrosis is the formation or development of excess fibrous connective tissue (fibrosis) in the lungs. It is also described as ""scarring of the lung"". Source: Wikipedia"
Mitral valve disease,Mitral valve disease Also known as Mitral Valve Disorder Mitral regurgitation (MR)
Parkinson disease,Parkinson disease Parkinson's disease (PD also known as idiopathic or primary parkinsonism
Gout,Gout Also known as Uric acid arthropathy Gout (also known as podagra when it involves the big toe) is a medical condition usually characterized by recurrent attacks of acute inflammatory arthritis a red
Otitis media,"Otitis media Also known as Middle Ear Infection Otitis media (Latin for ""inflammation of the middle ear"") is the medical term for middle ear infection. Although several subtypes of otitis media are distinguished"
Drug abuse (opioids),Drug abuse (opioids) Also known as Opioid Abuse and Opiate Abuse Opioid dependence is a medical diagnosis characterized by an individual's inability to stop using opiates (morphine
Myelodysplastic syndrome,Myelodysplastic syndrome Also known as Myelodysplasia The myelodysplastic syndromes (MDS
Fracture of the shoulder,Fracture of the shoulder Also known as Shoulder Fracture and Proximal Humeral Fracture Fractures of the proximal humerus
Acute kidney injury,Acute kidney injury Also known as AKI
Threatened pregnancy,Threatened pregnancy Also known as Threatened Abortion Miscarriage is the spontaneous end of a pregnancy at a stage where the embryo or fetus is incapable of surviving independently. Miscarriage is the most common complication of early pregnancy. Source: Wikipedia
Intracranial abscess,Intracranial abscess Brain abscess (or cerebral abscess) is an abscess caused by inflammation and collection of infected material
Gum disease,Gum disease Also known as Periodontal Disease and Parodontosis Dental diseases may affect the teeth
Open wound from surgical incision,None
Gastrointestinal hemorrhage,Gastrointestinal hemorrhage Also known as GI Bleeding
Seborrheic dermatitis, peeling,Seborrheic dermatitis,Seborrheic dermatitis Also known as Seborrhea and Seborrheic Eczema Seborrhoeic dermatitis (also seborrheic dermatitis AmE
Seborrheic dermatitis, peeling,Seborrheic dermatitis,Seborrheic dermatitis Also known as Seborrhea and Seborrheic Eczema Seborrhoeic dermatitis (also seborrheic dermatitis AmE
Drug abuse (methamphetamine),None
Torticollis,Torticollis Also known as Neck Contracture Torticollis
Poisoning due to antihypertensives,None
Tension headache,Tension headache Also known as Stress Headache and Tension Type Headache A tension headache (renamed a tension-type headache by the International Headache Society in 1988) is the most common type of primary headache. The pain can radiate from the lower back of the head
Alcohol intoxication,Alcohol intoxication Also known as Inebriation and Drunkenness Alcohol intoxication (also known as drunkenness or inebriation) is a physiological state induced by the consumption of alcohol. Source: Wikipedia
Scurvy,Scurvy Also known as Scorbutus Scurvy is a disease resulting from a deficiency of vitamin C
Narcolepsy,Narcolepsy Also known as Excessive Uncontrollable Daytime Sleepiness and Gelineau Syndrome Narcolepsy is a chronic neurological disorder caused by the brain's inability to regulate sleep-wake cycles normally. It often begins mildly and progresses over a period of time until it reaches full manifestation. People with narcolepsy often experience disturbed nocturnal sleep and an abnormal daytime sleep pattern
Food allergy,Food allergy Also known as Food Hypersensitivity A food allergy is an adverse immune response to a food protein. They are distinct from other adverse responses to food
Labyrinthitis,Labyrinthitis Also known as Otitis Interna Labyrinthitis is an ailment of the inner ear and a form of unilateral vestibular dysfunction. It derives its name from the labyrinths that house the vestibular system
Anxiety,Anxiety Anxiety is an unpleasant state of inner turmoil and apprehension
Impulse control disorder,Impulse control disorder Impulse control disorder or ICD is a class of psychiatric disorders characterized by impulsivity  failure to resist a temptation
Stenosis of the tear duct,Stenosis of the tear duct Also known as Blocked Tear Duct and Lacrimal Duct Obstruction Interference with the secretion of tears by the lacrimal glands. Obstruction of the lacrimal sac or nasolacrimal duct causing acute or chronic inflammation of the lacrimal sac (DACRYOCYSTITIS). It is caused also in infants by failure of the nasolacrimal duct to open into the inferior meatus and occurs about the third week of life. In adults occlusion may occur spontaneously or after injury or nasal disease. (Newell
Abscess of nose,None
Omphalitis,Omphalitis Omphalitis is the medical term for infection of the umbilical cord stump in the neonatal newborn period. While currently an uncommon anatomical location for infection in the newborn in the United States
Leukemia,"Leukemia Leukemia (American English) or leukaemia (British English) is a type of cancer of the blood or bone marrow characterized by an abnormal increase of immature white blood cells called ""blasts"". Leukemia is a broad term covering a spectrum of diseases. In turn"
Bell palsy,Bell palsy Also known as Bell facial paralysis Bell's palsy is a form of facial paralysis resulting from a dysfunction of the cranial nerve VII (the facial nerve) causing an inability to control facial muscles on the affected side. Several conditions can cause facial paralysis
Conjunctivitis due to allergy,Conjunctivitis due to allergy Also known as Allergic Conjunctivitis and Atopic Conjunctivitis Allergic conjunctivitis is inflammation of the conjunctiva (the membrane covering the white part of the eye) due to allergy. Although allergens differ between patients
Drug reaction,"Drug reaction Also known as Medication Side Effect and Adverse Drug Reaction An adverse drug reaction (abbreviated ADR) is an expression that describes harm associated with the use of given medications at a normal dosage during normal use. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs. The meaning of this expression differs from the meaning of ""side effect"""
Adrenal cancer,Adrenal cancer Also known as Adrenal Gland Cancer and Cancer Of The Adrenal Gland The term adrenal tumor can refer to one of several benign and malignant neoplasms of the adrenal gland
Myopia,Myopia Also known as Nearsightedness Myopia (Greek: ¼ÅÉÀ¯±
Osteoarthritis,Osteoarthritis Also known as Degenerative Joint Disease
Thyroid disease,Thyroid disease Also known as Thyroid Disorder and Thyroid Gland Disorder A thyroid disease is a medical condition impairing the function of the thyroid. Source: Wikipedia
Pharyngitis,Pharyngitis Also known as Throat Infection Pharyngitis /færhnÈd’ajths/ comes from the Greek word pharynx pharanx meaning throat and the suffix -itis meaning inflammation. It is an inflammation of the throat. In most cases it is quite painful
Chronic rheumatic fever,None
Hypocalcemia,Hypocalcemia Also known as Abnormally Low Blood Calcium Levels In medicine
Macular degeneration,"Macular degeneration Also known as Macula Lutea Degeneration Age-related macular degeneration (AMD) is a medical condition which usually affects older adults and results in a loss of vision in the center of the visual field (the macula) because of damage to the retina. It occurs in ""dry"" and ""wet"" forms. It is a major cause of blindness and visual impairment in older adults (>50 years). Macular degeneration can make it difficult or impossible to read or recognize faces"
Pneumonia,Pneumonia Pneumonia is an inflammatory condition of the lung affecting primarily the microscopic air sacs known as alveoli. It is usually caused by infection with viruses or bacteria and less commonly other microorganisms
Cold sore,Cold sore Also known as Cold Sores
Premature ventricular contractions (PVCs),Premature ventricular contractions (PVCs) Also known as PVCs
Chancroid,Chancroid Also known as Soft Chancre and Ulcus Molle Chancroid (also known as soft chancre and ulcus molle) is a bacterial sexually transmitted infection characterized by painful sores on the genitalia. Chancroid is known to spread from one individual to another solely through sexual contact. Source: Wikipedia
Testicular cancer,Testicular cancer Also known as Testis Cancer and Cancer Testis Testicular cancer is cancer that develops in the testicles
Hydrocephalus,Hydrocephalus Hydrocephalus /ÌhajdruÈs[fYlYs/
Breast cancer,Breast cancer Also known as Cancer Of Breast and Malignant Neoplasm Of Breast Breast cancer is a type of cancer originating from breast tissue
Anemia due to malignancy,None
Esophageal varices,Esophageal varices In medicine (gastroenterology)
Endometrial cancer,Endometrial cancer Also known as Endometrial Adenocarcinoma Endometrial cancer refers to several types of malignancies that arise from the endometrium
Cystic Fibrosis,Cystic Fibrosis Cystic fibrosis (also known as CF or mucoviscidosis) is an autosomal recessive genetic disorder that affects most critically the lungs
Intertrigo (skin condition), peeling,Intertrigo (skin condition),Intertrigo (skin condition) A superficial dermatitis occurring on skin surfaces in contact with each other
Intertrigo (skin condition), peeling,Intertrigo (skin condition),Intertrigo (skin condition) A superficial dermatitis occurring on skin surfaces in contact with each other
Parathyroid adenoma,Parathyroid adenoma A parathyroid adenoma is a benign tumor of the parathyroid gland. It can cause hyperparathyroidism. Source: Wikipedia
Glucocorticoid deficiency, contractures,Glucocorticoid deficiency,Glucocorticoid deficiency Also known as Addison Disease and Primary Adrenal Insufficiency Addison s disease (also chronic adrenal insufficiency
Glucocorticoid deficiency, contractures,Glucocorticoid deficiency,Glucocorticoid deficiency Also known as Addison Disease and Primary Adrenal Insufficiency Addison s disease (also chronic adrenal insufficiency
Temporomandibular joint disorder,Temporomandibular joint disorder Also known as Temporomandibular Joint Syndrome
Wilson disease,Wilson disease Also known as Hepatolenticular Degeneration Wilson's disease or hepatolenticular degeneration is an autosomal recessive genetic disorder in which copper accumulates in tissues; this manifests as neurological or psychiatric symptoms and liver disease. It is treated with medication that reduces copper absorption or removes the excess copper from the body
Vesicoureteral reflux,Vesicoureteral reflux Also known as Ureteric Reflux Vesicoureteral reflux (VUR) is an abnormal movement of urine from the bladder into ureters or kidneys. Urine normally travels from the kidneys via the ureters to the bladder. In vesicoureteral reflux the direction of urine flow is reversed (retrograde). Source: Wikipedia
Vitamin A deficiency,Vitamin A deficiency Vitamin A deficiency is a lack of vitamin A in humans. It is common in poorer countries but rarely seen in more developed countries that are wealthier. Night blindness is one of the first signs of vitamin A deficiency. Xerophthalmia
Gonorrhea,Gonorrhea Also known as Clap and Gonococcal Infection Gonorrhea (colloquially known as the clap) is a common human sexually transmitted infection caused by the bacterium Neisseria gonorrhoeae. The usual symptoms in men are burning with urination and penile discharge. Women
Fracture of the rib,Fracture of the rib Also known as Fractured Rib
Ependymoma,Ependymoma Ependymoma is a tumor that arises from the ependyma
Hepatitis due to a toxin,Hepatitis due to a toxin Also known as Toxic Hepatitis INFLAMMATION of the LIVER due to hepatocellular toxicity
Vaginal cyst,None
Open wound of the shoulder,None
Ectopic pregnancy,Ectopic pregnancy Also known as Extrauterine Pregnancy An ectopic pregnancy
Chronic knee pain,Chronic knee pain Also known as Patellofemoral Pain Syndrome Patellofemoral pain syndrome (PFPS) is a syndrome characterized by pain or discomfort seemingly originating from the contact of the posterior surface of the patella (back of the kneecap) with the femur (thigh bone). It is the most frequently encountered diagnosis in sports medicine clinics. Source: Wikipedia
Pinguecula,Pinguecula A pinguecula is a common type of conjunctival degeneration in the eye. Source: Wikipedia
Hypergammaglobulinemia,Hypergammaglobulinemia Hypergammaglobulinemia is a medical condition with elevated levels of gamma globulin. Source: Wikipedia
Alcohol abuse,Alcohol abuse Also known as Alcoholism
Carpal tunnel syndrome,Carpal tunnel syndrome Also known as Median Nerve Entrapment Carpal tunnel syndrome (CTS) is a median entrapment neuropathy
Pituitary disorder,Pituitary disorder Also known as Pituitary Disease
Kidney stone,Kidney stone Also known as Nephrolithiasis
Autism,Autism Also known as Autistic Disorder Autism is a disorder of neural development characterized by impaired social interaction and verbal and non-verbal communication
Cat scratch disease,Cat scratch disease Also known as Cat Scratch Fever Cat scratch disease (CSD)
Chronic glaucoma,Chronic glaucoma Glaucoma in which the angle of the anterior chamber is open and the trabecular meshwork does not encroach on the base of the iris. Source: MeSH
Retinal detachment,Retinal detachment Also known as Detached Retina Retinal detachment is a disorder of the eye in which the retina peels away from its underlying layer of support tissue. Initial detachment may be localized
Aplastic anemia,Aplastic anemia Also known as Bone Marrow Aplasia and Erythroid Aplasia Aplastic anemia is a disease in which the bone marrow
Overflow incontinence,Overflow incontinence Also known as Paradoxical Incontinence Overflow incontinence is a form of urinary incontinence
Rabies,Rabies Also known as Lyssa and Hydrophobia Rabies (/ÈrejbiÐz/; from Latin: rabies
Hemolytic anemia,Hemolytic anemia Hemolytic anemia is a form of anemia due to hemolysis
Lateral epicondylitis (tennis elbow),Lateral epicondylitis (tennis elbow) Also known as Tennis Elbow
Open wound of the eye,None
Syphilis,Syphilis Also known as Lues and Luetic Disease Syphilis is a sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. The primary route of transmission is through sexual contact; it may also be transmitted from mother to fetus during pregnancy or at birth
Diabetic kidney disease,Diabetic kidney disease Also known as Diabetic Nephropathy and Diabetic Renal Disease Diabetic nephropathy (nephropatia diabetica)
Nose disorder,Nose disorder Also known as Disease Of The Nose
Drug withdrawal,Drug withdrawal Also known as Substance Withdrawal Syndrome Withdrawal is the group of symptoms that occur upon the abrupt discontinuation or decrease in intake of medications or recreational drugs. Source: Wikipedia
Dental caries,Dental caries Also known as Tooth Decay
Hypercholesterolemia,"Hypercholesterolemia Also known as Elevated Cholesterol and High Blood Cholesterol Level Hypercholesterolemia (also spelled hypercholesterolaemia) is the presence of high levels of cholesterol in the blood. It is a form of ""hyperlipidemia"" (elevated levels of lipids in the blood) and ""hyperlipoproteinemia"" (elevated levels of lipoproteins in the blood). Source: Wikipedia"
Fracture of the patella,Fracture of the patella Also known as Patella Fracture
Kidney failure, contractures,Kidney failure,Kidney failure Also known as Renal Failure Renal failure (also kidney failure or renal insufficiency) is a medical condition in which the kidneys fail to adequately filter waste products from the blood. The two main forms are acute kidney injury
Kidney failure, contractures,Kidney failure,Kidney failure Also known as Renal Failure Renal failure (also kidney failure or renal insufficiency) is a medical condition in which the kidneys fail to adequately filter waste products from the blood. The two main forms are acute kidney injury
Fracture of the neck,Fracture of the neck Also known as Neck Fracture and Cervical Spine Fracture A cervical fracture
Muscle spasm, contractures,Muscle spasm,Muscle spasm In medicine a spasm is a sudden
Muscle spasm, contractures,Muscle spasm,Muscle spasm In medicine a spasm is a sudden
Hemophilia,Hemophilia Also known as Hemophilia Disorder Haemophilia (/hiÐmYÈfjliY/; also spelled hemophilia in North America
Hyperosmotic hyperketotic state,None
Peritonsillar abscess,Peritonsillar abscess Also known as Quinsy
Gastroparesis,Gastroparesis Also known as Delayed Gastric Emptying
Itching of unknown cause, peeling,Itching of unknown cause,Itching of unknown cause Itching is skin tingling or irritation that makes you want to scratch the itchy area. It's a symptom of many health conditions. Common causes are Allergic reactions Eczema Dry skin Insect bites and stings Irritating chemicals Parasites such as pinworms
Itching of unknown cause, peeling,Itching of unknown cause,Itching of unknown cause Itching is skin tingling or irritation that makes you want to scratch the itchy area. It's a symptom of many health conditions. Common causes are Allergic reactions Eczema Dry skin Insect bites and stings Irritating chemicals Parasites such as pinworms
Fat embolism,Fat embolism A fat embolism is a type of embolism that is often caused by physical trauma such as fracture of long bones
Polycythemia vera,Polycythemia vera Also known as Polycythemia Rubra Vera
Thrombocytopenia,Thrombocytopenia Also known as Reduced Platelet Count The terms thrombocytopenia and thrombopenia refer to a relative decrease of platelets in blood. Source: Wikipedia
Head and neck cancer,Head and neck cancer Head and neck cancer refers to a group of biologically similar cancers that start in the lip
Pseudohypoparathyroidism,Pseudohypoparathyroidism Pseudohypoparathyroidism is a condition associated primarily with resistance to the parathyroid hormone. Patients have a low serum calcium and high phosphate
Goiter,Goiter Also known as Enlarged Thyroid
Urge incontinence,Urge incontinence Also known as Urinary Urge Incontinence Urge incontinence is a form of urinary incontinence characterized by the involuntary loss of urine occurring for no apparent reason while feeling urinary urgency
Edward syndrome,Edward syndrome Also known as Trisomy 18 Syndrome Edwards syndrome (also known as Trisomy 18 ) is a genetic disorder caused by the presence of all or part of an extra 18th chromosome. This genetic condition almost always results from nondisjunction during meiosis. It is named after John Hilton Edwards
Open wound of the arm,None
Muscular dystrophy,Muscular dystrophy Also known as Myodystrophy Muscular Dystrophy (MD) is a group of muscle diseases that weaken the musculoskeletal system and hamper locomotion. Muscular dystrophies are characterized by progressive skeletal muscle weakness
Mittelschmerz,Mittelschmerz Also known as Painful Ovulation
Corneal abrasion,Corneal abrasion Also known as Cornea Scratch Corneal abrasion is a medical condition involving the loss of the surface epithelial layer of the eye's cornea. Source: Wikipedia
Anemia of chronic disease,Anemia of chronic disease Anemia of chronic disease
Dysthymic disorder,Dysthymic disorder Also known as Dysthymia Dysthymia (/djs.È¸aj.miÐ.Y/ dis-THEYE-mee-Y)
Scarlet fever,Scarlet fever Also known as Scarlatina Scarlet fever (also called scarlatina in older literature) is an infectious disease which most commonly affects 4-8 year old children. Symptoms include sore throat
Hypertensive heart disease,Hypertensive heart disease Hypertensive heart disease includes a number of complications of systemic arterial hypertension or high blood pressure that affect the heart. While there are several definitions of hypertensive heart disease in the medical literature
Drug abuse (barbiturates),None
Polycystic ovarian syndrome (PCOS),Polycystic ovarian syndrome (PCOS) Also known as Stein Leventhal Syndrome and Ovarian Hyperthecosis A complex disorder characterized by infertility
Encephalitis,Encephalitis Also known as Brain Inflammation Encephalitis (from Ancient Greek ½º­Æ±»¿Â enképhalos  brain 
Cyst of the eyelid,None
Balanitis,"Balanitis Balanitis (/bælYÈnajtjs/; from Greek: ²¬»±½¿Â balanos ""acorn"") is inflammation of the glans penis. When the foreskin is also affected"
Foreign body in the throat,None
Drug abuse (cocaine),Drug abuse (cocaine) Also known as Cocaine Abuse Cocaine (INN) (benzoylmethylecgonine
Optic neuritis,Optic neuritis Optic neuritis is a condition consisting in the inflammation of the optic nerve that may cause a complete or partial loss of vision. Source: Wikipedia
Alcohol withdrawal,Alcohol withdrawal Alcohol withdrawal syndrome is the set of symptoms seen when an individual reduces or stops alcohol consumption after prolonged periods of excessive alcohol intake. Excessive use of alcohol leads to tolerance
Premature atrial contractions (PACs),Premature atrial contractions (PACs) Also known as Premature Atrial Beats
Hemiplegia,Hemiplegia Hemiplegia /he.mY.pliÐ.d’iY/ is total paralysis of the arm
Hammer toe,Hammer toe A hammer toe or contracted toe is a deformity of the proximal interphalangeal joint of the second
Open wound of the cheek,None
Joint effusion,Joint effusion Also known as Hydrarthrosis and Synovial Effusion A joint effusion is the presence of increased intra-articular fluid. It may affect any joint. Commonly it involves the knee. Source: Wikipedia
Open wound of the knee,None
Meningioma,Meningioma Meningiomas are a diverse set of tumors arising from the meninges
Brain cancer,Brain cancer Also known as Cancer Of The Brain and Malignant Neoplasm Of Brain A brain tumor
Placental abruption,Placental abruption Also known as Abruptio Placenta and Accidental Hemorrhage Placental abruption (also known as abruptio placentae) is a complication of pregnancy
Seasonal allergies (hay fever),Seasonal allergies (hay fever) Also known as Hay Fever
Lung cancer,Lung cancer Also known as Carcinoma Of Lung and Pulmonary Carcinoma Lung cancer is a disease characterized by uncontrolled cell growth in tissues of the lung. If left untreated
Primary kidney disease,Primary kidney disease Also known as Renal Disease and Nephropathy The kidneys are organs that serve several essential regulatory roles in most animals
Uterine cancer,Uterine cancer Also known as Uterus Cancer and Cancer Of The Uterus The term uterine cancer may refer to any of several different types of cancer which occur in the uterus
Dry eye of unknown cause,Dry eye of unknown cause Also known as Dry Eye Syndrome Keratoconjunctivitis sicca (KCS)
Fibrocystic breast disease,Fibrocystic breast disease Also known as Fibrocystic Disease Of Breast
Fungal infection of the hair, peeling,Fungal infection of the hair,"Fungal infection of the hair Also known as Tinea Capitis and Ringworm Of Scalp Tinea capitis (also known as ""Herpes tonsurans"""
Fungal infection of the hair, peeling,Fungal infection of the hair,"Fungal infection of the hair Also known as Tinea Capitis and Ringworm Of Scalp Tinea capitis (also known as ""Herpes tonsurans"""
Tooth abscess,Tooth abscess Also known as Dental Abscess A tooth abscess or root abscess is pus enclosed in the tissues of the jaw bone at the apex of an infected tooth's root(s). Usually the abscess originates from a bacterial infection that has accumulated in the soft
Leptospirosis,Leptospirosis Also known as Swamp Fever
Envenomation from spider or animal bite,None
VACTERL syndrome,None
Vertebrobasilar insufficiency,Vertebrobasilar insufficiency Also known as Vertebral Basilar Insufficiency
Rectal disorder,Rectal disorder Also known as Rectal Disease The rectum is the lower part of your large intestine where your body stores stool. Problems with rectum are common. They include hemorrhoids
Atonic bladder,None
Benign paroxysmal positional vertical (BPPV),None
Blepharospasm, contractures,Blepharospasm,Blepharospasm Also known as Eyelid Twitching and Eyelid Spasms A blepharospasm (from Greek: blepharo
Blepharospasm, contractures,Blepharospasm,Blepharospasm Also known as Eyelid Twitching and Eyelid Spasms A blepharospasm (from Greek: blepharo
Sarcoidosis,Sarcoidosis Also known as Sarcoid
Metastatic cancer,Metastatic cancer Also known as Secondary Neoplasm Metastasis
Trigger finger (finger disorder),Trigger finger (finger disorder) Also known as Snap Finger A painful disability in the hand affecting the finger or thumb. It is caused by mechanical impingement of the digital flexor tendons as they pass through a narrowed retinacular pulley at the level of the metacarpal head. Thickening of the sheath and fibrocartilaginous metaplasia can occur
Stye,Stye Also known as Hordeolum and Hordeolum Externum An external stye or sty /Èstaj/
Hemochromatosis,Hemochromatosis Also known as Bronze Diabetes and Iron Storage Disease In medicine
Osteochondroma,Osteochondroma Also known as Exostosis
Cushing syndrome,Cushing syndrome Cushing's syndrome describes the signs and symptoms associated with prolonged exposure to inappropriately high levels of the hormone cortisol. This can be caused by taking glucocorticoid drugs
Typhoid fever,Typhoid fever Also known as Typhoid and Enteric Fever Typhoid fever
Vitreous degeneration,None
Atrophic skin condition,None
Aspergillosis,Aspergillosis Aspergillosis is the name given to a wide variety of diseases caused by infection by fungi of the genus Aspergillus. The most common forms are allergic bronchopulmonary aspergillosis
Uterine atony,Uterine atony Also known as Inertia Uteri Uterine atony is a loss of tone in the uterine musculature. Normally
Trichinosis,Trichinosis Also known as Trichiniasis and Trichinelliasis Trichinosis
Whooping cough,Whooping cough Also known as Pertussis Pertussis  commonly called whooping cough (/ÈhuÐpjK kRf/ or /ÈhwuÐpjK kRf/)  is a highly contagious bacterial disease caused by Bordetella pertussis. In some countries
Pick disease,Pick disease Also known as Frontotemporal Dementia Pick's disease is a rare neurodegenerative disease that causes progressive destruction of nerve cells in the brain. Symptoms include loss of speech (aphasia) and dementia. While some of the symptoms can initially be alleviated
Open wound of the lip,None
Subacute thyroiditis,Subacute thyroiditis Also known as De Quervain Thyroiditis Subacute thyroiditis is an intriguing form of thyroiditis that can be a cause of both thyrotoxicosis and hypothyroidism. It is uncommon and can affect individuals of both sexes and all ages. The most common form
Oral mucosal lesion,None
Open wound due to trauma,None
Intracerebral hemorrhage,Intracerebral hemorrhage Also known as Cerebral Hemorrhage
Alzheimer disease, contractures,Alzheimer disease,Alzheimer disease Alzheimer's disease (AD)
Alzheimer disease, contractures,Alzheimer disease,Alzheimer disease Alzheimer's disease (AD)
Vaginismus,Vaginismus Vaginismus
Systemic lupus erythematosis (SLE),Systemic lupus erythematosis (SLE) Also known as Lupus
Premature ovarian failure,Premature ovarian failure Premature Ovarian Failure (POF)
Thoracic outlet syndrome,Thoracic outlet syndrome Thoracic outlet syndrome (TOS) is a syndrome involving compression at the superior thoracic outlet wherein excess pressure placed on a neurovascular bundle passing between the anterior scalene and middle scalene muscles. It can affect one or more of the nerves that innervate the upper limb and/or blood vessels as they pass between the chest and upper extremity; specifically in the brachial plexus
Ganglion cyst,Ganglion cyst Also known as Synovial Cyst and Myxoid Cyst A ganglion cyst
Dislocation of the knee,Dislocation of the knee Also known as Knee Dislocation and Dislocated Knee Slippage of the FEMUR off the TIBIA. Source: MeSH
Crohn disease,Crohn disease Also known as Granulomatous Enteritis Crohn's disease
Postoperative infection,None
Folate deficiency,Folate deficiency Also known as Folic Acid Deficiency Folate deficiency is a lack of folic acid in the diet and the signs are often subtle. Folate deficiency anemia is the medical name given for the condition. Source: Wikipedia
Fluid overload,Fluid overload Also known as Hypervolemia and Excess Fluid Volume Hypervolemia
Atrial flutter,Atrial flutter Also known as Flutter Auricular Atrial flutter (AFL) is an abnormal heart rhythm that occurs in the atria of the heart. When it first occurs
Skin disorder, peeling,Skin disorder,Skin disorder Also known as Skin Disease
Skin disorder, peeling,Skin disorder,Skin disorder Also known as Skin Disease
Floaters,Floaters Also known as Eye Floater
Tooth disorder,Tooth disorder Also known as Tooth Disease
Heart attack,Heart attack Also known as MI
Open wound of the abdomen,None
Fracture of the leg,Fracture of the leg Also known as Broken Leg
Oral thrush (yeast infection),Oral thrush (yeast infection) Candida is the scientific name for yeast. It is a fungus that lives almost everywhere
Pityriasis rosea,Pityriasis rosea Pityriasis rosea (also known as pityriasis rosea Gibert) is a skin rash. It is benign but may inflict substantial discomfort in certain cases. Classically
Allergy to animals,None
Orthostatic hypotension,Orthostatic hypotension Also known as Postural Hypotension Orthostatic hypotension
Obstructive sleep apnea (OSA),Obstructive sleep apnea (OSA) Also known as OSA Osa may refer to: Source: Wikipedia
Hypokalemia,Hypokalemia Also known as Potassium Deficiency
Psoriasis, peeling,Psoriasis,Psoriasis Psoriasis /suÈraj.Yshs/ is an immune-mediated disease that affects the skin. It is typically a lifelong condition. There is currently no cure
Psoriasis, peeling,Psoriasis,Psoriasis Psoriasis /suÈraj.Yshs/ is an immune-mediated disease that affects the skin. It is typically a lifelong condition. There is currently no cure
Dislocation of the shoulder,Dislocation of the shoulder Also known as Shoulder Dislocation A dislocated shoulder occurs when the humerus separates from the scapula at the glenohumeral joint. The shoulder joint has the greatest range of motion of any joint in the body and as a result is particularly susceptible to dislocation and subluxation. Approximately half of major joint dislocations seen in emergency departments are of the shoulder. Partial dislocation of the shoulder is referred to as subluxation. Source: Wikipedia
Intussusception,Intussusception Also known as Bowel Intussusception and Intestinal Intussusception Intussusception may refer to: Source: Wikipedia
Cervicitis,Cervicitis Cervicitis is inflammation of the uterine cervix. Cervicitis in women has many features in common with urethritis in men and many cases are caused by sexually transmitted infections. Non-infectious causes of cervicitis can include intrauterine devices
Abscess of the pharynx,None
Primary thrombocythemia,Primary thrombocythemia Also known as Essential Thrombocythemia
Arthritis of the hip,None
Decubitus ulcer,Decubitus ulcer Also known as Pressure Ulcer
Hypernatremia,Hypernatremia Also known as Excess Sodium in Blood Hypernatremia or hypernatraemia (see American and British English spelling differences) is an electrolyte disturbance that is defined by an elevated sodium level in the blood. Hypernatremia is generally not caused by an excess of sodium
Sensorineural hearing loss,Sensorineural hearing loss Also known as Sensory Hearing Loss and Sensorineural Deafness Sensorineural hearing loss (SNHL) is a type of hearing loss in which the root cause lies in the vestibulocochlear nerve (cranial nerve VIII)
Chronic ulcer,Chronic ulcer Also known as Chronic Skin Ulcer An ulcer is a discontinuity or break in a bodily membrane that impedes the organ of which that membrane is a part from continuing its normal functions. Common forms of ulcers recognized in medicine include: Source: Wikipedia
Osteoporosis, contractures,Osteoporosis,"Osteoporosis Osteoporosis (""porous bones"""
Osteoporosis, contractures,Osteoporosis,"Osteoporosis Osteoporosis (""porous bones"""
Ileus,Ileus Also known as Bowel Ileus Ileus (/ÈjliYs/ or /ÈjljYs/) is a disruption of the normal propulsive ability of the gastrointestinal tract. Source: Wikipedia
Sickle cell crisis,Sickle cell crisis Also known as Sickle Cell Pain Crisis Sickle-cell disease (SCD)
Urethritis,Urethritis Also known as Inflammation Of Urethra Urethritis is inflammation of the urethra. The most common symptom is painful or difficult urination. Source: Wikipedia
Prostatitis,Prostatitis Also known as Prostate Inflammation Prostatitis is inflammation of the prostate gland. Prostatitis is classified into acute
Otitis externa (swimmer's ear),"Otitis externa (swimmer's ear) Also known as Swimmer's ear Otitis externa (also known as ""External otitis"" and ""Swimmer's ear"") is an inflammation of the outer ear and ear canal. Along with otitis media"
Poisoning due to anticonvulsants,None
Testicular torsion,Testicular torsion Also known as Torsion Of Testis and Spermatic Cord Torsion Testicular torsion occurs when the spermatic cord (from which the testicle is suspended) twists
Tricuspid valve disease,None
Urethral stricture,Urethral stricture Also known as Urethral Stenosis A urethral stricture is a narrowing of the urethra caused by injury or disease such as urinary tract infections or other forms of urethritis. Source: Wikipedia
Vitamin D deficiency,Vitamin D deficiency Hypovitaminosis D is a deficiency of vitamin D. It can result from inadequate nutritional intake of vitamin D coupled with inadequate sunlight exposure (in particular sunlight with adequate ultraviolet B rays)
