Disease,CommonTestAndProcedure
Polycystic kidney disease,Ultrasonography (Ultrasound)
Polycystic kidney disease,Glucose measurement (Glucose level)
Polycystic kidney disease,Electrolytes panel
Bipolar disorder,Psychotherapy
Bipolar disorder,Mental health counseling
Bipolar disorder,Toxicology screen
Bipolar disorder,Depression screen (Depression screening)
Bipolar disorder,Blood alcohol
Bipolar disorder,Psychological and psychiatric evaluation and therapy
Bipolar disorder,Occupational therapy assessment (Speech therapy)
Bipolar disorder,Electroencephalogram (EEG) (Eeg)
Amyloidosis,Hematologic tests (Blood test)
Amyloidosis,Human papillomavirus DNA detection
Amyloidosis,Traction; splints; and other wound care
Amyloidosis,Chlamydia test
Amyloidosis,Corneal transplant
Amyloidosis,Procedures on spleen (Spleen operation)
Amyloidosis,Removal of ectopic pregnancy
Amyloidosis,Tracheostomy; temporary and permanent
Chronic inflammatory demyelinating polyneuropathy (CIDP),Hematologic tests (Blood test)
Chronic inflammatory demyelinating polyneuropathy (CIDP),Complete blood count (Cbc)
Chronic inflammatory demyelinating polyneuropathy (CIDP),Other diagnostic procedures (interview; evaluation; consultation)
Chronic inflammatory demyelinating polyneuropathy (CIDP),Examination of foot
Chronic inflammatory demyelinating polyneuropathy (CIDP),Electroencephalogram (EEG) (Eeg)
Chronic inflammatory demyelinating polyneuropathy (CIDP),Other therapeutic procedures
Chronic inflammatory demyelinating polyneuropathy (CIDP),Corneal transplant
Chronic inflammatory demyelinating polyneuropathy (CIDP),Procedures on spleen (Spleen operation)
Gastroesophageal reflux disease (GERD),Electrocardiogram
Gastroesophageal reflux disease (GERD),Lipid panel
Gastroesophageal reflux disease (GERD),Other diagnostic procedures (interview; evaluation; consultation)
Gastroesophageal reflux disease (GERD),Hemoglobin A1c measurement (Hemoglobin a1c test)
Gastroesophageal reflux disease (GERD),Sigmoidoscopy or colonoscopy
Gastroesophageal reflux disease (GERD),Upper gastrointestinal endoscopy; biopsy
Gastroesophageal reflux disease (GERD),Rectal examination
Gastroesophageal reflux disease (GERD),Mammography (Mammogram)
Vitreous hemorrhage,Ophthalmic examination and evaluation (Eye exam)
Vitreous hemorrhage,Other therapeutic procedures on eyelids; conjunctiva; cornea
Vitreous hemorrhage,Repair of retinal tear; detachment
Vitreous hemorrhage,Other intraocular therapeutic procedures
Vitreous hemorrhage,Excision (Removal)
Vitreous hemorrhage,Other extraocular muscle and orbit therapeutic procedures
Vitreous hemorrhage,Ophthalmologic and otologic diagnosis and treatment
Vitreous hemorrhage,Other therapeutic procedures
Poisoning due to antimicrobial drugs,Hematologic tests (Blood test)
Poisoning due to antimicrobial drugs,Complete blood count (Cbc)
Poisoning due to antimicrobial drugs,Intravenous fluid replacement
Poisoning due to antimicrobial drugs,Electrolytes panel
Poisoning due to antimicrobial drugs,Kidney function tests (Kidney function test)
Poisoning due to antimicrobial drugs,Occupational therapy assessment (Speech therapy)
Poisoning due to antimicrobial drugs,Physical therapy exercises (Exercises)
Poisoning due to antimicrobial drugs,Toxicology screen
Open wound of the mouth,Suturing of wound
Open wound of the mouth,Wound care management
Open wound of the mouth,X-ray computed tomography (Scan ct)
Open wound of the mouth,CAT scan of head (Head ct)
Open wound of the mouth,Other therapeutic procedures
Open wound of the mouth,Treatment; facial fracture or dislocation
Open wound of the mouth,Other non-OR therapeutic procedures on nose; mouth and pharynx
Open wound of the mouth,Nonoperative removal of foreign body
Scleroderma,Complete physical skin exam performed (ML)
Scleroderma,Excision (Removal)
Scleroderma,Wound care management
Scleroderma,Biopsy
Scleroderma,Pelvis exam
Scleroderma,Other diagnostic procedures (interview; evaluation; consultation)
Scleroderma,Excision of skin lesion
Scleroderma,Examination of breast
Myasthenia gravis,Hematologic tests (Blood test)
Myasthenia gravis,Other diagnostic procedures (interview; evaluation; consultation)
Myasthenia gravis,Magnetic resonance imaging (Mri)
Myasthenia gravis,Hemoglobin A1c measurement (Hemoglobin a1c test)
Myasthenia gravis,Lipid panel
Myasthenia gravis,Bone density scan
Myasthenia gravis,Ophthalmic examination and evaluation (Eye exam)
Myasthenia gravis,Microscopic examination (bacterial smear; culture; toxicology)
Hypoglycemia,Hematologic tests (Blood test)
Hypoglycemia,Glucose measurement (Glucose level)
Hypoglycemia,Complete blood count (Cbc)
Hypoglycemia,Kidney function tests (Kidney function test)
Hypoglycemia,Intravenous fluid replacement
Hypoglycemia,Electrolytes panel
Hypoglycemia,Electrocardiogram
Hypoglycemia,Urinalysis
Idiopathic absence of menstruation,Hematologic tests (Blood test)
Idiopathic absence of menstruation,Pelvis exam
Idiopathic absence of menstruation,Standard pregnancy test
Idiopathic absence of menstruation,Urinalysis
Idiopathic absence of menstruation,Examination of breast
Idiopathic absence of menstruation,Ultrasonography (Ultrasound)
Idiopathic absence of menstruation,Chlamydia test
Idiopathic absence of menstruation,Lipid panel
Dislocation of the ankle,Radiographic imaging procedure
Dislocation of the ankle,Plain x-ray (X ray)
Dislocation of the ankle,Application of splint (Splinting)
Dislocation of the ankle,Intravenous fluid replacement
Dislocation of the ankle,Cardiac monitoring (Cardiac monitor)
Dislocation of the ankle,Psychological and psychiatric evaluation and therapy
Dislocation of the ankle,Traction; splints; and other wound care
Dislocation of the ankle,Examination of foot
Carbon monoxide poisoning,Hematologic tests (Blood test)
Carbon monoxide poisoning,Arterial blood gases (ABGs)
Carbon monoxide poisoning,Glucose measurement (Glucose level)
Carbon monoxide poisoning,Electrocardiogram
Carbon monoxide poisoning,Kidney function tests (Kidney function test)
Carbon monoxide poisoning,Cardiac enzymes measurement (Cardiac enzymes test)
Carbon monoxide poisoning,Blood alcohol
Carbon monoxide poisoning,Toxicology screen
Panic attack,Electrocardiogram
Panic attack,Hematologic tests (Blood test)
Panic attack,Complete blood count (Cbc)
Panic attack,Radiographic imaging procedure
Panic attack,Plain x-ray (X ray)
Panic attack,Kidney function tests (Kidney function test)
Panic attack,Glucose measurement (Glucose level)
Panic attack,Intravenous fluid replacement
Plantar fasciitis,Radiographic imaging procedure
Plantar fasciitis,Plain x-ray (X ray)
Plantar fasciitis,Examination of foot
Plantar fasciitis,Physical therapy exercises (Exercises)
Plantar fasciitis,Application of splint (Splinting)
Plantar fasciitis,Lipid panel
Plantar fasciitis,Other therapeutic procedures
Plantar fasciitis,Rectal examination
Hyperopia,Ophthalmologic and otologic diagnosis and treatment
Hyperopia,Other therapeutic procedures on eyelids; conjunctiva; cornea
Hyperopia,Ophthalmic examination and evaluation (Eye exam)
Hyperopia,Lens and cataract procedures
Hyperopia,Referral to home health care service
Hyperopia,Other extraocular muscle and orbit therapeutic procedures
Poisoning due to sedatives,Hematologic tests (Blood test)
Poisoning due to sedatives,Complete blood count (Cbc)
Poisoning due to sedatives,Kidney function tests (Kidney function test)
Poisoning due to sedatives,Urinalysis
Poisoning due to sedatives,Intravenous fluid replacement
Poisoning due to sedatives,Electrocardiogram
Poisoning due to sedatives,Glucose measurement (Glucose level)
Poisoning due to sedatives,Toxicology screen
Pemphigus,Complete physical skin exam performed (ML)
Pemphigus,Biopsy
Pemphigus,Excision (Removal)
Pemphigus,Excision of skin lesion
Pemphigus,Other diagnostic procedures on skin and subcutaneous tissue
Pemphigus,Magnetic resonance imaging (Mri)
Pemphigus,Diagnostic procedures on nose; mouth and pharynx
Pemphigus,Other therapeutic procedures
Peyronie disease,Urinalysis
Peyronie disease,Rectal examination
Peyronie disease,Prostate specific antigen measurement (Prostate specific antigen test)
Peyronie disease,Complete physical skin exam performed (ML)
Peyronie disease,Other diagnostic procedures (interview; evaluation; consultation)
Peyronie disease,Depression screen (Depression screening)
Peyronie disease,Other OR therapeutic procedures; male genital
Peyronie disease,Endoscopy and endoscopic biopsy of the urinary tract
Hiatal hernia,Hematologic tests (Blood test)
Hiatal hernia,Complete blood count (Cbc)
Hiatal hernia,Glucose measurement (Glucose level)
Hiatal hernia,Electrolytes panel
Hiatal hernia,Electrocardiogram
Hiatal hernia,Kidney function tests (Kidney function test)
Hiatal hernia,Intravenous fluid replacement
Hiatal hernia,Biopsy
Extrapyramidal effect of drugs,Intravenous fluid replacement
Extrapyramidal effect of drugs,Magnetic resonance imaging (Mri)
Extrapyramidal effect of drugs,Psychotherapy
Extrapyramidal effect of drugs,Mental health counseling
Extrapyramidal effect of drugs,CAT scan of head (Head ct)
Extrapyramidal effect of drugs,Electroencephalogram (EEG) (Eeg)
Extrapyramidal effect of drugs,Physical therapy exercises (Exercises)
Extrapyramidal effect of drugs,Psychological and psychiatric evaluation and therapy
Meniere disease,Ophthalmologic and otologic diagnosis and treatment
Meniere disease,Other diagnostic procedures (interview; evaluation; consultation)
Meniere disease,Magnetic resonance imaging (Mri)
Meniere disease,Other OR therapeutic nervous system procedures
Meniere disease,Other therapeutic ear procedures
Meniere disease,Other OR therapeutic procedures; male genital
Meniere disease,Diagnostic procedures on ear
Meniere disease,Other diagnostic radiology and related techniques
Anal fissure,Rectal examination
Anal fissure,Sigmoidoscopy or colonoscopy
Anal fissure,Excision (Removal)
Anal fissure,Colonoscopy and biopsy
Anal fissure,Other OR lower GI therapeutic procedures
Anal fissure,Proctoscopy and anorectal biopsy
Anal fissure,Referral to home health care service
Anal fissure,Pap smear
Allergy,Complete physical skin exam performed (ML)
Allergy,Nebulizer therapy
Allergy,Other diagnostic procedures on skin and subcutaneous tissue
Allergy,Routine chest X-ray
Chronic otitis media,Ophthalmologic and otologic diagnosis and treatment
Chronic otitis media,Other diagnostic procedures (interview; evaluation; consultation)
Chronic otitis media,Excision (Removal)
Chronic otitis media,Tonsillectomy and/or adenoidectomy
Chronic otitis media,Diagnostic procedures on ear
Chronic otitis media,Other OR therapeutic procedures on nose; mouth and pharynx
Chronic otitis media,Diagnostic procedures on nose; mouth and pharynx
Chronic otitis media,Other respiratory therapy
Fracture of the finger,Radiographic imaging procedure
Fracture of the finger,Plain x-ray (X ray)
Fracture of the finger,Application of splint (Splinting)
Fracture of the finger,Wound care management
Fracture of the finger,Suturing of wound
Fracture of the finger,Traction; splints; and other wound care
Fracture of the finger,Physical therapy exercises (Exercises)
Fracture of the finger,Orthopedic casting
Hirschsprung disease,Rectal examination
Hirschsprung disease,Excision (Removal)
Hirschsprung disease,Other non-OR lower GI therapeutic procedures
Hirschsprung disease,Biopsy
Hirschsprung disease,Colorectal resection
Hirschsprung disease,Proctoscopy and anorectal biopsy
Hirschsprung disease,Corneal transplant
Hirschsprung disease,Procedures on spleen (Spleen operation)
Polymyalgia rheumatica,Lipid panel
Polymyalgia rheumatica,Mammography (Mammogram)
Polymyalgia rheumatica,Examination of breast
Polymyalgia rheumatica,Bone density scan
Polymyalgia rheumatica,Rectal examination
Polymyalgia rheumatica,Physical therapy exercises (Exercises)
Polymyalgia rheumatica,Biopsy
Polymyalgia rheumatica,Procedures on spleen (Spleen operation)
Lymphedema,Wound care management
Lymphedema,Complete physical skin exam performed (ML)
Lymphedema,Traction; splints; and other wound care
Lymphedema,Physical therapy exercises (Exercises)
Lymphedema,Debridement of wound; infection or burn
Lymphedema,Examination of foot
Lymphedema,Referral to home health care service
Lymphedema,Orthopedic casting
Bladder cancer,Urinalysis
Bladder cancer,Endoscopy and endoscopic biopsy of the urinary tract
Bladder cancer,X-ray computed tomography (Scan ct)
Bladder cancer,Rectal examination
Bladder cancer,Prostate specific antigen measurement (Prostate specific antigen test)
Bladder cancer,Excision (Removal)
Bladder cancer,Biopsy
Bladder cancer,Microscopic examination (bacterial smear; culture; toxicology)
Acute bronchospasm,Radiographic imaging procedure
Acute bronchospasm,Plain x-ray (X ray)
Acute bronchospasm,Nebulizer therapy
Acute bronchospasm,Electrocardiogram
Acute bronchospasm,Cardiac enzymes measurement (Cardiac enzymes test)
Acute bronchospasm,Influenzavirus antibody assay
Acute bronchospasm,Cardiac monitoring (Cardiac monitor)
Acute bronchospasm,Blood culture
Acute glaucoma,Ophthalmic examination and evaluation (Eye exam)
Acute glaucoma,Other therapeutic procedures on eyelids; conjunctiva; cornea
Acute glaucoma,Other intraocular therapeutic procedures
Acute glaucoma,Diagnostic procedures on eye
Acute glaucoma,Excision (Removal)
Acute glaucoma,Other extraocular muscle and orbit therapeutic procedures
Acute glaucoma,Lens and cataract procedures
Acute glaucoma,Ophthalmologic and otologic diagnosis and treatment
Open wound of the chest,Wound care management
Open wound of the chest,Radiographic imaging procedure
Open wound of the chest,Plain x-ray (X ray)
Open wound of the chest,Intravenous fluid replacement
Open wound of the chest,Complete physical skin exam performed (ML)
Open wound of the chest,Electrocardiogram
Open wound of the chest,Kidney function tests (Kidney function test)
Open wound of the chest,Suturing of wound
Dislocation of the patella,Radiographic imaging procedure
Dislocation of the patella,Plain x-ray (X ray)
Dislocation of the patella,Physical therapy exercises (Exercises)
Dislocation of the patella,Application of splint (Splinting)
Dislocation of the patella,Magnetic resonance imaging (Mri)
Dislocation of the patella,Arthroscopy
Dislocation of the patella,Treatment; fracture or dislocation of lower extremity (other than hip or femur)
Dislocation of the patella,Orthopedic casting
Sciatica,Radiographic imaging procedure
Sciatica,Plain x-ray (X ray)
Sciatica,Physical therapy exercises (Exercises)
Sciatica,Magnetic resonance imaging (Mri)
Sciatica,Other physical therapy and rehabilitation
Sciatica,Insertion of catheter or spinal stimulator and injection into spinal canal
Sciatica,Bone density scan
Sciatica,Other non-OR therapeutic procedures on musculoskeletal system
Hypercalcemia,Hematologic tests (Blood test)
Hypercalcemia,Complete blood count (Cbc)
Hypercalcemia,Glucose measurement (Glucose level)
Hypercalcemia,Urinalysis
Hypercalcemia,Electrolytes panel
Hypercalcemia,Electrocardiogram
Hypercalcemia,Complete physical skin exam performed (ML)
Hypercalcemia,Lipid panel
Stress incontinence,Pelvis exam
Stress incontinence,Urinalysis
Stress incontinence,Examination of breast
Stress incontinence,Complete physical skin exam performed (ML)
Stress incontinence,Rectal examination
Stress incontinence,Mammography (Mammogram)
Stress incontinence,Genitourinary incontinence procedures
Stress incontinence,Endoscopy and endoscopic biopsy of the urinary tract
Varicose veins,Wound care management
Varicose veins,Complete physical skin exam performed (ML)
Varicose veins,Ultrasonography (Ultrasound)
Varicose veins,Traction; splints; and other wound care
Varicose veins,Debridement of wound; infection or burn
Varicose veins,Application of splint (Splinting)
Varicose veins,Excision (Removal)
Varicose veins,Examination of foot
Benign kidney cyst,Radiographic imaging procedure
Benign kidney cyst,Urinalysis
Benign kidney cyst,Hematologic tests (Blood test)
Benign kidney cyst,X-ray computed tomography (Scan ct)
Benign kidney cyst,Complete blood count (Cbc)
Benign kidney cyst,Electrolytes panel
Benign kidney cyst,Intravenous fluid replacement
Benign kidney cyst,Glucose measurement (Glucose level)
Hydrocele of the testicle,Radiographic imaging procedure
Hydrocele of the testicle,Urinalysis
Hydrocele of the testicle,Complete physical skin exam performed (ML)
Hydrocele of the testicle,Ultrasonography (Ultrasound)
Hydrocele of the testicle,Rectal examination
Hydrocele of the testicle,Prostate specific antigen measurement (Prostate specific antigen test)
Hydrocele of the testicle,Excision (Removal)
Hydrocele of the testicle,Other diagnostic procedures (interview; evaluation; consultation)
Degenerative disc disease,Magnetic resonance imaging (Mri)
Degenerative disc disease,Physical therapy exercises (Exercises)
Degenerative disc disease,Insertion of catheter or spinal stimulator and injection into spinal canal
Degenerative disc disease,Other therapeutic procedures
Degenerative disc disease,Other diagnostic procedures (interview; evaluation; consultation)
Degenerative disc disease,Other non-OR therapeutic procedures on musculoskeletal system
Degenerative disc disease,Other physical therapy and rehabilitation
Hirsutism,Hematologic tests (Blood test)
Hirsutism,Complete physical skin exam performed (ML)
Hirsutism,Glucose measurement (Glucose level)
Hirsutism,Examination of breast
Hirsutism,Hemoglobin A1c measurement (Hemoglobin a1c test)
Hirsutism,Lipid panel
Hirsutism,Pelvis exam
Hirsutism,Other non-OR therapeutic procedures on skin and breast
Dislocation of the foot,Plain x-ray (X ray)
Dislocation of the foot,Radiographic imaging procedure
Dislocation of the foot,Application of splint (Splinting)
Dislocation of the foot,Intravenous fluid replacement
Dislocation of the foot,Kidney function tests (Kidney function test)
Dislocation of the foot,Suturing of wound
Dislocation of the foot,Electrocardiogram
Dislocation of the foot,CAT scan of head (Head ct)
Hydronephrosis,Radiographic imaging procedure
Hydronephrosis,Urinalysis
Hydronephrosis,Hematologic tests (Blood test)
Hydronephrosis,Complete blood count (Cbc)
Hydronephrosis,X-ray computed tomography (Scan ct)
Hydronephrosis,Intravenous fluid replacement
Hydronephrosis,Kidney function tests (Kidney function test)
Hydronephrosis,Glucose measurement (Glucose level)
Diverticulosis,Sigmoidoscopy or colonoscopy
Diverticulosis,Complete blood count (Cbc)
Diverticulosis,X-ray computed tomography (Scan ct)
Diverticulosis,Colonoscopy and biopsy
Diverticulosis,Urinalysis
Diverticulosis,Glucose measurement (Glucose level)
Diverticulosis,Intravenous fluid replacement
Diverticulosis,Electrolytes panel
Pain after an operation,Radiographic imaging procedure
Pain after an operation,Hematologic tests (Blood test)
Pain after an operation,Complete blood count (Cbc)
Pain after an operation,Plain x-ray (X ray)
Pain after an operation,Intravenous fluid replacement
Pain after an operation,Kidney function tests (Kidney function test)
Pain after an operation,Urinalysis
Pain after an operation,Glucose measurement (Glucose level)
Huntington disease,CAT scan of head (Head ct)
Huntington disease,X-ray computed tomography (Scan ct)
Huntington disease,Depression screen (Depression screening)
Huntington disease,Magnetic resonance imaging (Mri)
Huntington disease,Mental health counseling
Huntington disease,Prothrombin time assay (Prothrombin time)
Huntington disease,Corneal transplant
Huntington disease,Procedures on spleen (Spleen operation)
West Nile virus,Corneal transplant
West Nile virus,Transurethral resection of prostate (TURP) (Turp)
West Nile virus,Coronary thrombolysis
West Nile virus,Control of epistaxis
West Nile virus,CT scan abdomen (Ct of abdomen)
West Nile virus,Procedures on spleen (Spleen operation)
West Nile virus,Bone marrow transplant (Bmt)
West Nile virus,Removal of ectopic pregnancy
Lymphoma,Hematologic tests (Blood test)
Lymphoma,Complete blood count (Cbc)
Lymphoma,Glucose measurement (Glucose level)
Lymphoma,Complete physical skin exam performed (ML)
Lymphoma,Electrolytes panel
Lymphoma,X-ray computed tomography (Scan ct)
Lymphoma,Hemoglobin A1c measurement (Hemoglobin a1c test)
Lymphoma,Lipid panel
Dermatitis due to sun exposure,Complete physical skin exam performed (ML)
Dermatitis due to sun exposure,Excision (Removal)
Dermatitis due to sun exposure,Excision of skin lesion
Dermatitis due to sun exposure,Biopsy
Dermatitis due to sun exposure,Other diagnostic procedures on skin and subcutaneous tissue
Dermatitis due to sun exposure,Wound care management
Dermatitis due to sun exposure,Other therapeutic procedures
Dermatitis due to sun exposure,Other OR therapeutic procedures on skin and breast
Anemia due to chronic kidney disease,Hematologic tests (Blood test)
Anemia due to chronic kidney disease,Complete blood count (Cbc)
Anemia due to chronic kidney disease,Glucose measurement (Glucose level)
Anemia due to chronic kidney disease,Electrolytes panel
Anemia due to chronic kidney disease,Urinalysis
Anemia due to chronic kidney disease,Hemoglobin A1c measurement (Hemoglobin a1c test)
Anemia due to chronic kidney disease,Lipid panel
Anemia due to chronic kidney disease,Ultrasonography (Ultrasound)
Injury to internal organ,Radiographic imaging procedure
Injury to internal organ,Hematologic tests (Blood test)
Injury to internal organ,Complete blood count (Cbc)
Injury to internal organ,X-ray computed tomography (Scan ct)
Injury to internal organ,Plain x-ray (X ray)
Injury to internal organ,Urinalysis
Injury to internal organ,Intravenous fluid replacement
Injury to internal organ,Glucose measurement (Glucose level)
Scleritis,Ophthalmic examination and evaluation (Eye exam)
Scleritis,Corneal transplant
Scleritis,Procedures on spleen (Spleen operation)
Scleritis,Removal of ectopic pregnancy
Scleritis,Tracheostomy; temporary and permanent
Scleritis,Diagnostic endocrine procedures
Scleritis,CT scan chest (Ct chest)
Scleritis,Peritoneal dialysis
Pterygium,Excision (Removal)
Pterygium,Other therapeutic procedures on eyelids; conjunctiva; cornea
Pterygium,Ophthalmic examination and evaluation (Eye exam)
Pterygium,Ophthalmologic and otologic diagnosis and treatment
Pterygium,Other extraocular muscle and orbit therapeutic procedures
Pterygium,Lens and cataract procedures
Pterygium,Colonoscopy and biopsy
Fungal infection of the skin,Complete physical skin exam performed (ML)
Fungal infection of the skin,Microscopic examination (bacterial smear; culture; toxicology)
Fungal infection of the skin,Excision (Removal)
Fungal infection of the skin,Chlamydia test
Fungal infection of the skin,Excision of skin lesion
Fungal infection of the skin,Other diagnostic procedures on skin and subcutaneous tissue
Fungal infection of the skin,Other non-OR therapeutic procedures on skin and breast
Fungal infection of the skin,Diagnostic procedures on nose; mouth and pharynx
Insulin overdose,Intravenous fluid replacement
Insulin overdose,Glucose measurement (Glucose level)
Insulin overdose,Hematologic tests (Blood test)
Insulin overdose,Complete blood count (Cbc)
Insulin overdose,Kidney function tests (Kidney function test)
Insulin overdose,Electrolytes panel
Insulin overdose,Electrocardiogram
Insulin overdose,Urinalysis
Syndrome of inappropriate secretion of ADH (SIADH),Hematologic tests (Blood test)
Syndrome of inappropriate secretion of ADH (SIADH),Complete blood count (Cbc)
Syndrome of inappropriate secretion of ADH (SIADH),Intravenous fluid replacement
Syndrome of inappropriate secretion of ADH (SIADH),Glucose measurement (Glucose level)
Syndrome of inappropriate secretion of ADH (SIADH),Urinalysis
Syndrome of inappropriate secretion of ADH (SIADH),Plain x-ray (X ray)
Syndrome of inappropriate secretion of ADH (SIADH),Hemoglobin A1c measurement (Hemoglobin a1c test)
Syndrome of inappropriate secretion of ADH (SIADH),Prothrombin time assay (Prothrombin time)
Foreign body in the ear,Nonoperative removal of foreign body
Foreign body in the ear,Wound care management
Foreign body in the ear,Other therapeutic ear procedures
Foreign body in the ear,Ophthalmologic and otologic diagnosis and treatment
Premenstrual tension syndrome,Pelvis exam
Premenstrual tension syndrome,Examination of breast
Premenstrual tension syndrome,Complete physical skin exam performed (ML)
Premenstrual tension syndrome,Pap smear
Premenstrual tension syndrome,Depression screen (Depression screening)
Premenstrual tension syndrome,Lipid panel
Premenstrual tension syndrome,Mammography (Mammogram)
Premenstrual tension syndrome,Rectal examination
Orbital cellulitis,Complete blood count (Cbc)
Orbital cellulitis,Intravenous fluid replacement
Orbital cellulitis,Glucose measurement (Glucose level)
Orbital cellulitis,X-ray computed tomography (Scan ct)
Orbital cellulitis,Kidney function tests (Kidney function test)
Orbital cellulitis,Electrolytes panel
Orbital cellulitis,CAT scan of head (Head ct)
Orbital cellulitis,Blood culture
Injury to the leg,Radiographic imaging procedure
Injury to the leg,Plain x-ray (X ray)
Injury to the leg,Application of splint (Splinting)
Injury to the leg,Wound care management
Injury to the leg,Magnetic resonance imaging (Mri)
Injury to the leg,Physical therapy exercises (Exercises)
Injury to the leg,Examination of foot
Injury to the leg,Orthopedic casting
Hepatic encephalopathy,Hematologic tests (Blood test)
Hepatic encephalopathy,Complete blood count (Cbc)
Hepatic encephalopathy,Radiographic imaging procedure
Hepatic encephalopathy,Plain x-ray (X ray)
Hepatic encephalopathy,Electrocardiogram
Hepatic encephalopathy,Kidney function tests (Kidney function test)
Hepatic encephalopathy,Intravenous fluid replacement
Hepatic encephalopathy,Electrolytes panel
Bone cancer,Hematologic tests (Blood test)
Bone cancer,Complete blood count (Cbc)
Bone cancer,Radiographic imaging procedure
Bone cancer,Glucose measurement (Glucose level)
Bone cancer,X-ray computed tomography (Scan ct)
Bone cancer,Magnetic resonance imaging (Mri)
Bone cancer,Excision (Removal)
Bone cancer,Examination of breast
Leishmaniasis,Corneal transplant
Leishmaniasis,Transurethral resection of prostate (TURP) (Turp)
Leishmaniasis,Coronary thrombolysis
Leishmaniasis,Control of epistaxis
Leishmaniasis,CT scan abdomen (Ct of abdomen)
Leishmaniasis,Procedures on spleen (Spleen operation)
Leishmaniasis,Bone marrow transplant (Bmt)
Leishmaniasis,Removal of ectopic pregnancy
Chagas disease,Plain x-ray (X ray)
Chagas disease,Radiographic imaging procedure
Chagas disease,Corneal transplant
Chagas disease,Transurethral resection of prostate (TURP) (Turp)
Chagas disease,Coronary thrombolysis
Chagas disease,Control of epistaxis
Chagas disease,CT scan abdomen (Ct of abdomen)
Chagas disease,Procedures on spleen (Spleen operation)
Syringomyelia,Radiographic imaging procedure
Syringomyelia,Magnetic resonance imaging (Mri)
Syringomyelia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Syringomyelia,Other diagnostic procedures (interview; evaluation; consultation)
Syringomyelia,Liver function tests (Liver test)
Syringomyelia,Pelvis exam
Syringomyelia,Cardiac enzymes measurement (Cardiac enzymes test)
Syringomyelia,Bone density scan
Pulmonary fibrosis,Radiographic imaging procedure
Pulmonary fibrosis,Hematologic tests (Blood test)
Pulmonary fibrosis,Plain x-ray (X ray)
Pulmonary fibrosis,Complete blood count (Cbc)
Pulmonary fibrosis,Electrocardiogram
Pulmonary fibrosis,X-ray computed tomography (Scan ct)
Pulmonary fibrosis,Cardiac enzymes measurement (Cardiac enzymes test)
Pulmonary fibrosis,Other diagnostic procedures (interview; evaluation; consultation)
Mitral valve disease,Radiographic imaging procedure
Mitral valve disease,Electrocardiogram
Mitral valve disease,Ultrasonography (Ultrasound)
Mitral valve disease,Echocardiography
Mitral valve disease,Lipid panel
Mitral valve disease,Other diagnostic procedures (interview; evaluation; consultation)
Mitral valve disease,Cardiac stress tests
Mitral valve disease,Diagnostic cardiac catheterization; coronary arteriography
Parkinson disease,Other diagnostic procedures (interview; evaluation; consultation)
Parkinson disease,Physical therapy exercises (Exercises)
Parkinson disease,Magnetic resonance imaging (Mri)
Parkinson disease,Depression screen (Depression screening)
Parkinson disease,Occupational therapy assessment (Speech therapy)
Parkinson disease,Prostate specific antigen measurement (Prostate specific antigen test)
Parkinson disease,Referral to home health care service
Parkinson disease,Other OR therapeutic nervous system procedures
Gout,Hematologic tests (Blood test)
Gout,Complete blood count (Cbc)
Gout,Plain x-ray (X ray)
Gout,Lipid panel
Gout,Examination of foot
Gout,Hemoglobin A1c measurement (Hemoglobin a1c test)
Gout,Application of splint (Splinting)
Gout,Prostate specific antigen measurement (Prostate specific antigen test)
Otitis media,Other diagnostic procedures (interview; evaluation; consultation)
Otitis media,Ophthalmologic and otologic diagnosis and treatment
Otitis media,Nebulizer therapy
Otitis media,Influenzavirus antibody assay
Otitis media,Other therapeutic ear procedures
Otitis media,Tonsillectomy and/or adenoidectomy
Otitis media,Diagnostic procedures on ear
Otitis media,Other respiratory therapy
Drug abuse (opioids),Mental health counseling
Drug abuse (opioids),Psychotherapy
Drug abuse (opioids),Urinalysis
Drug abuse (opioids),Depression screen (Depression screening)
Drug abuse (opioids),Toxicology screen
Drug abuse (opioids),Blood alcohol
Drug abuse (opioids),Psychological and psychiatric evaluation and therapy
Drug abuse (opioids),Microscopic examination (bacterial smear; culture; toxicology)
Myelodysplastic syndrome,Hematologic tests (Blood test)
Myelodysplastic syndrome,Complete blood count (Cbc)
Myelodysplastic syndrome,Glucose measurement (Glucose level)
Myelodysplastic syndrome,Hemoglobin A1c measurement (Hemoglobin a1c test)
Myelodysplastic syndrome,Biopsy
Myelodysplastic syndrome,Bone marrow biopsy
Myelodysplastic syndrome,Prostate specific antigen measurement (Prostate specific antigen test)
Myelodysplastic syndrome,Ophthalmic examination and evaluation (Eye exam)
Fracture of the shoulder,Radiographic imaging procedure
Fracture of the shoulder,Plain x-ray (X ray)
Fracture of the shoulder,Application of splint (Splinting)
Fracture of the shoulder,X-ray computed tomography (Scan ct)
Fracture of the shoulder,CAT scan of head (Head ct)
Fracture of the shoulder,Physical therapy exercises (Exercises)
Fracture of the shoulder,Suturing of wound
Fracture of the shoulder,Blood alcohol
Acute kidney injury,Hematologic tests (Blood test)
Acute kidney injury,Complete blood count (Cbc)
Acute kidney injury,Radiographic imaging procedure
Acute kidney injury,Urinalysis
Acute kidney injury,Glucose measurement (Glucose level)
Acute kidney injury,Electrolytes panel
Acute kidney injury,Kidney function tests (Kidney function test)
Acute kidney injury,Intravenous fluid replacement
