Disease,Symptom
Polymyalgia rheumatica,Muscle pain
Polymyalgia rheumatica,Hip pain
Polymyalgia rheumatica,Irregular heartbeat
Polymyalgia rheumatica,Leg weakness
Polymyalgia rheumatica,Stiffness all over
Polymyalgia rheumatica,Difficulty in swallowing
Polymyalgia rheumatica,Temper problems
Lymphedema,Skin lesion
Lymphedema,Leg swelling
Lymphedema,Peripheral edema
Lymphedema,Leg pain
Lymphedema,Abnormal appearing skin
Lymphedema,Fluid retention
Lymphedema,Skin on leg or foot looks infected
Lymphedema,Lymphedema
Lymphedema,Foot or toe swelling
Lymphedema,Skin dryne
Lymphedema,Neck mass
Lymphedema,Throat swelling
Bladder cancer,Blood in urine
Bladder cancer,Retention of urine
Bladder cancer,Symptoms of bladder
Bladder cancer,Bladder mass
Bladder cancer,Excessive urination at night
Bladder cancer,Groin mass
Bladder cancer,Kidney mass
Bladder cancer,Penis redness
Bladder cancer,Symptoms of prostate
Bladder cancer,Mass in scrotum
Bladder cancer,Penile discharge
Bladder cancer,Pain during intercourse
Acute bronchospasm,Cough
Acute bronchospasm,Shortness of breath
Acute bronchospasm,Wheezing
Acute bronchospasm,Fever
Acute bronchospasm,Difficulty breathing
Acute bronchospasm,Nasal congestion
Acute bronchospasm,Sharp chest pain
Acute bronchospasm,Sore throat
Acute bronchospasm,Coryza
Acute bronchospasm,Vomiting
Acute bronchospasm,Headache
Acute bronchospasm,Chest tightness
Acute glaucoma,Diminished vision
Acute glaucoma,Pain in eye
Acute glaucoma,Symptoms of eye
Acute glaucoma,Eye redness
Acute glaucoma,Spots or clouds in vision
Acute glaucoma,Foreign body sensation in eye
Acute glaucoma,Itchiness of eye
Acute glaucoma,Blindness
Acute glaucoma,Lacrimation
Acute glaucoma,Double vision
Acute glaucoma,Eye burns or stings
Open wound of the chest,Sharp chest pain
Open wound of the chest,Drug abuse
Open wound of the chest,Lip swelling
Dislocation of the patella,Knee pain
Dislocation of the patella,Knee swelling
Dislocation of the patella,Fluid retention
Dislocation of the patella,Problems during pregnancy
Dislocation of the patella,Knee stiffness or tightness
Sciatica,Back pain
Sciatica,Leg pain
Sciatica,Low back pain
Sciatica,Hip pain
Sciatica,Lower body pain
Sciatica,Loss of sensation
Sciatica,Problems with movement
Sciatica,Paresthesia
Sciatica,Leg weakness
Sciatica,Back cramps or spasms
Sciatica,Leg cramps or spasms
Sciatica,Unusual color or odor to urine
Hypercalcemia,Weakness
Hypercalcemia,Dizziness
Hypercalcemia,Loss of sensation
Hypercalcemia,Feeling ill
Hypercalcemia,Hand or finger weakness
Hypercalcemia,Allergic reaction
Hypercalcemia,Arm cramps or spasms
Hypercalcemia,Focal weakness
Hypercalcemia,Retention of urine
Hypercalcemia,Delusions or hallucinations
Hypercalcemia,Irregular appearing nails
Hypercalcemia,Leg weakness
Stress incontinence,Involuntary urination
Stress incontinence,Frequent urination
Stress incontinence,Painful urination
Stress incontinence,Symptoms of bladder
Stress incontinence,Blood in urine
Stress incontinence,Retention of urine
Stress incontinence,Suprapubic pain
Stress incontinence,Hot flashes
Stress incontinence,Pelvic pain
Stress incontinence,Excessive urination at night
Stress incontinence,Weight gain
Stress incontinence,Intermenstrual bleeding
Varicose veins,Skin lesion
Varicose veins,Leg pain
Varicose veins,Peripheral edema
Varicose veins,Ache all over
Varicose veins,Lymphedema
Varicose veins,Leg swelling
Varicose veins,Leg cramps or spasms
Varicose veins,Skin on leg or foot looks infected
Varicose veins,Leg lump or mass
Benign kidney cyst,Side pain
Benign kidney cyst,Sharp abdominal pain
Benign kidney cyst,Blood in urine
Benign kidney cyst,Vomiting
Benign kidney cyst,Back pain
Benign kidney cyst,Low back pain
Benign kidney cyst,Involuntary urination
Benign kidney cyst,Symptoms of the kidneys
Benign kidney cyst,Drainage in throat
Benign kidney cyst,Impotence
Benign kidney cyst,Symptoms of prostate
Benign kidney cyst,Decreased appetite
Hydrocele of the testicle,Swelling of scrotum
Hydrocele of the testicle,Pain in testicles
Hydrocele of the testicle,Groin pain
Hydrocele of the testicle,Mass in scrotum
Hydrocele of the testicle,Lower abdominal pain
Hydrocele of the testicle,Retention of urine
Hydrocele of the testicle,Groin mass
Hydrocele of the testicle,Excessive urination at night
Hydrocele of the testicle,Blood in urine
Hydrocele of the testicle,Symptoms of the scrotum and testes
Hydrocele of the testicle,Skin growth
Hydrocele of the testicle,Impotence
Degenerative disc disease,Back pain
Degenerative disc disease,Low back pain
Degenerative disc disease,Leg pain
Degenerative disc disease,Neck pain
Degenerative disc disease,Hip pain
Degenerative disc disease,Shoulder pain
Degenerative disc disease,Ache all over
Degenerative disc disease,Loss of sensation
Degenerative disc disease,Arm pain
Degenerative disc disease,Lower body pain
Degenerative disc disease,Paresthesia
Degenerative disc disease,Joint pain
Hirsutism,Unwanted hair
Hirsutism,Unpredictable menstruation
Hirsutism,Acne or pimples
Hirsutism,Fatigue
Hirsutism,Infertility
Hirsutism,Abnormal appearing skin
Hirsutism,Weight gain
Hirsutism,Warts
Hirsutism,Skin moles
Hirsutism,Too little hair
Hirsutism,Heavy menstrual flow
Hirsutism,Apnea
Dislocation of the foot,Foot or toe pain
Dislocation of the foot,Vomiting
Dislocation of the foot,Ankle pain
Dislocation of the foot,Knee weakness
Dislocation of the foot,Elbow weakness
Dislocation of the foot,Elbow cramps or spasms
Dislocation of the foot,Eye strain
Dislocation of the foot,Low back weakness
Dislocation of the foot,Wrist weakness
Dislocation of the foot,Underweight
Dislocation of the foot,Feeling hot and cold
Dislocation of the foot,Muscle swelling
Hydronephrosis,Side pain
Hydronephrosis,Sharp abdominal pain
Hydronephrosis,Back pain
Hydronephrosis,Nausea
Hydronephrosis,Vomiting
Hydronephrosis,Blood in urine
Hydronephrosis,Suprapubic pain
Hydronephrosis,Symptoms of the kidneys
Hydronephrosis,Lower abdominal pain
Hydronephrosis,Lower body pain
Hydronephrosis,Pain in testicles
Hydronephrosis,Symptoms of bladder
Diverticulosis,Sharp abdominal pain
Diverticulosis,Rectal bleeding
Diverticulosis,Constipation
Diverticulosis,Diarrhea
Diverticulosis,Blood in stool
Diverticulosis,Burning abdominal pain
Diverticulosis,Nausea
Diverticulosis,Vomiting
Diverticulosis,Lower abdominal pain
Diverticulosis,Melena
Diverticulosis,Upper abdominal pain
Diverticulosis,Heartburn
Pain after an operation,Sharp abdominal pain
Pain after an operation,Back pain
Pain after an operation,Sharp chest pain
Pain after an operation,Headache
Pain after an operation,Nausea
Pain after an operation,Vomiting
Pain after an operation,Low back pain
Pain after an operation,Toothache
Pain after an operation,Leg pain
Pain after an operation,Neck pain
Pain after an operation,Side pain
Pain after an operation,Lower abdominal pain
Huntington disease,Constipation
Huntington disease,Problems with movement
Huntington disease,Depression
Huntington disease,Anxiety and nervousness
Huntington disease,Back pain
Huntington disease,Loss of sensation
Huntington disease,Sharp abdominal pain
Huntington disease,Drug abuse
Huntington disease,Symptoms of the face
Huntington disease,Elbow weakness
Huntington disease,Low back weakness
Huntington disease,Excessive growth
West Nile virus,Pain in eye
West Nile virus,Shoulder cramps or spasms
West Nile virus,Facial pain
West Nile virus,Ankle pain
West Nile virus,Wrist pain
West Nile virus,Pain during pregnancy
West Nile virus,Excessive anger
West Nile virus,Joint stiffness or tightness
West Nile virus,Pain or soreness of breast
West Nile virus,Knee lump or mass
West Nile virus,Fatigue
West Nile virus,Excessive urination at night
Lymphoma,Fatigue
Lymphoma,Neck mass
Lymphoma,Regurgitation
Lymphoma,Hoarse voice
Lymphoma,Muscle pain
Lymphoma,Mouth pain
Lymphoma,Symptoms of the kidneys
Lymphoma,Groin mass
Lymphoma,Mouth ulcer
Lymphoma,Stiffness all over
Lymphoma,Shoulder lump or mass
Lymphoma,Itchy ear(s)
Dermatitis due to sun exposure,Abnormal appearing skin
Dermatitis due to sun exposure,Skin lesion
Dermatitis due to sun exposure,Skin rash
Dermatitis due to sun exposure,Skin moles
Dermatitis due to sun exposure,Skin dryne
Dermatitis due to sun exposure,Irregular appearing scalp
Dermatitis due to sun exposure,Acne or pimples
Dermatitis due to sun exposure,Skin growth
Dermatitis due to sun exposure,Skin swelling
Dermatitis due to sun exposure,Symptoms of the face
Dermatitis due to sun exposure,Itchy scalp
Dermatitis due to sun exposure,Lack of growth
Anemia due to chronic kidney disease,Fatigue
Anemia due to chronic kidney disease,Weakness
Anemia due to chronic kidney disease,Shortness of breath
Anemia due to chronic kidney disease,Peripheral edema
Anemia due to chronic kidney disease,Ankle swelling
Anemia due to chronic kidney disease,Recent weight loss
Anemia due to chronic kidney disease,Polyuria
Anemia due to chronic kidney disease,Feeling cold
Anemia due to chronic kidney disease,Symptoms of the kidneys
Anemia due to chronic kidney disease,Melena
Injury to internal organ,Sharp abdominal pain
Injury to internal organ,Side pain
Injury to internal organ,Sharp chest pain
Injury to internal organ,Rib pain
Injury to internal organ,Ache all over
Injury to internal organ,Back pain
Injury to internal organ,Blood in urine
Injury to internal organ,Retention of urine
Injury to internal organ,Pain of the anus
Injury to internal organ,Hurts to breath
Injury to internal organ,Lymphedema
Injury to internal organ,Frequent urination
Scleritis,Pain in eye
Scleritis,Eye redness
Scleritis,Headache
Scleritis,Lacrimation
Scleritis,Spots or clouds in vision
Scleritis,Cloudy eye
Scleritis,Symptoms of eye
Scleritis,Vaginal itching
Scleritis,Pain during pregnancy
Scleritis,Abnormal appearing skin
Scleritis,Foreign body sensation in eye
Scleritis,Abnormal involuntary movements
Pterygium,Pain in eye
Pterygium,Symptoms of eye
Pterygium,Eye redness
Pterygium,Diminished vision
Pterygium,Itchiness of eye
Pterygium,Lacrimation
Pterygium,Foreign body sensation in eye
Pterygium,Eye burns or stings
Pterygium,Spots or clouds in vision
Pterygium,Eyelid swelling
Pterygium,Acne or pimples
Pterygium,Irregular appearing scalp
Fungal infection of the skin,Skin rash
Fungal infection of the skin,Itching of skin
Fungal infection of the skin,Abnormal appearing skin
Fungal infection of the skin,Skin lesion
Fungal infection of the skin,Irregular appearing scalp
Fungal infection of the skin,Skin swelling
Fungal infection of the skin,Too little hair
Fungal infection of the skin,Skin dryne
Fungal infection of the skin,Itchy scalp
Fungal infection of the skin,Dry or flaky scalp
Fungal infection of the skin,Acne or pimples
Fungal infection of the skin,Irregular appearing nails
Insulin overdose,Diarrhea
Insulin overdose,Weakness
Insulin overdose,Depressive or psychotic symptoms
Insulin overdose,Wrist weakness
Insulin overdose,Underweight
Insulin overdose,Elbow weakness
Insulin overdose,Nailbiting
Insulin overdose,Emotional symptoms
Insulin overdose,Feeling hot and cold
Insulin overdose,Low back weakness
Insulin overdose,Elbow cramps or spasms
Insulin overdose,Excessive growth
Syndrome of inappropriate secretion of ADH (SIADH),Dizziness
Syndrome of inappropriate secretion of ADH (SIADH),Shoulder pain
Syndrome of inappropriate secretion of ADH (SIADH),Neck pain
Syndrome of inappropriate secretion of ADH (SIADH),Headache
Syndrome of inappropriate secretion of ADH (SIADH),Fever
Syndrome of inappropriate secretion of ADH (SIADH),Nausea
Syndrome of inappropriate secretion of ADH (SIADH),Weakness
Syndrome of inappropriate secretion of ADH (SIADH),Feeling ill
Syndrome of inappropriate secretion of ADH (SIADH),Shoulder swelling
Syndrome of inappropriate secretion of ADH (SIADH),Vulvar sore
Syndrome of inappropriate secretion of ADH (SIADH),Eye strain
Syndrome of inappropriate secretion of ADH (SIADH),Cross-eyed
Foreign body in the ear,Ear pain
Foreign body in the ear,Diminished hearing
Foreign body in the ear,Bleeding from ear
Foreign body in the ear,Fluid in ear
Foreign body in the ear,Throat feels tight
Foreign body in the ear,Skin irritation
Foreign body in the ear,Irregular appearing scalp
Foreign body in the ear,Throat irritation
Foreign body in the ear,Hysterical behavior
Premenstrual tension syndrome,Premenstrual tension or irritability
Premenstrual tension syndrome,Headache
Premenstrual tension syndrome,Unpredictable menstruation
Premenstrual tension syndrome,Back pain
Premenstrual tension syndrome,Long menstrual periods
Premenstrual tension syndrome,Depressive or psychotic symptoms
Premenstrual tension syndrome,Painful menstruation
Premenstrual tension syndrome,Vomiting
Premenstrual tension syndrome,Burning abdominal pain
Premenstrual tension syndrome,Heavy menstrual flow
Premenstrual tension syndrome,Lower abdominal pain
Premenstrual tension syndrome,Pelvic pain
Orbital cellulitis,Swollen eye
Orbital cellulitis,Eye redness
Orbital cellulitis,Pain in eye
Orbital cellulitis,Fever
Orbital cellulitis,Symptoms of eye
Orbital cellulitis,Eyelid swelling
Orbital cellulitis,Peripheral edema
Orbital cellulitis,Neck swelling
Orbital cellulitis,Itching of skin
Orbital cellulitis,Diminished vision
Orbital cellulitis,Diminished hearing
Orbital cellulitis,Facial pain
Injury to the leg,Knee pain
Injury to the leg,Foot or toe pain
Injury to the leg,Ankle pain
Injury to the leg,Leg pain
Injury to the leg,Knee swelling
Injury to the leg,Foot or toe swelling
Injury to the leg,Ankle swelling
Injury to the leg,Problems with movement
Injury to the leg,Leg swelling
Injury to the leg,Knee stiffness or tightness
Injury to the leg,Irregular appearing nails
Injury to the leg,Infant feeding problem
Hepatic encephalopathy,Depressive or psychotic symptoms
Hepatic encephalopathy,Sharp abdominal pain
Hepatic encephalopathy,Shortness of breath
Hepatic encephalopathy,Peripheral edema
Hepatic encephalopathy,Fainting
Hepatic encephalopathy,Weakness
Hepatic encephalopathy,Fatigue
Hepatic encephalopathy,Drug abuse
Hepatic encephalopathy,Problems with movement
Hepatic encephalopathy,Seizures
Hepatic encephalopathy,Abusing alcohol
Hepatic encephalopathy,Fluid retention
Bone cancer,Low back pain
Bone cancer,Ache all over
Bone cancer,Back pain
Bone cancer,Leg pain
Bone cancer,Fatigue
Bone cancer,Peripheral edema
Bone cancer,Rib pain
Bone cancer,Problems with movement
Bone cancer,Joint pain
Bone cancer,Arm lump or mass
Bone cancer,Muscle pain
Bone cancer,Gum pain
Leishmaniasis,Pain in eye
Leishmaniasis,Shoulder cramps or spasms
Leishmaniasis,Facial pain
Leishmaniasis,Ankle pain
Leishmaniasis,Wrist pain
Leishmaniasis,Pain during pregnancy
Leishmaniasis,Excessive anger
Leishmaniasis,Joint stiffness or tightness
Leishmaniasis,Pain or soreness of breast
Leishmaniasis,Knee lump or mass
Leishmaniasis,Fatigue
Leishmaniasis,Excessive urination at night
Chagas disease,Pain in eye
Chagas disease,Shoulder cramps or spasms
Chagas disease,Facial pain
Chagas disease,Ankle pain
Chagas disease,Wrist pain
Chagas disease,Pain during pregnancy
Chagas disease,Excessive anger
Chagas disease,Joint stiffness or tightness
Chagas disease,Pain or soreness of breast
Chagas disease,Knee lump or mass
Chagas disease,Fatigue
Chagas disease,Excessive urination at night
Syringomyelia,Back pain
Syringomyelia,Shoulder pain
Syringomyelia,Headache
Syringomyelia,Neck pain
Syringomyelia,Side pain
Syringomyelia,Leg weakness
Syringomyelia,Hand or finger swelling
Syringomyelia,Fainting
Syringomyelia,Pain or soreness of breast
Syringomyelia,Foot or toe pain
Syringomyelia,Shoulder swelling
Syringomyelia,Arm stiffness or tightness
Pulmonary fibrosis,Shortness of breath
Pulmonary fibrosis,Cough
Pulmonary fibrosis,Sharp chest pain
Pulmonary fibrosis,Difficulty breathing
Pulmonary fibrosis,Fever
Pulmonary fibrosis,Fainting
Pulmonary fibrosis,Coughing up sputum
Pulmonary fibrosis,Itchiness of eye
Pulmonary fibrosis,Chest tightness
Pulmonary fibrosis,Hemoptysis
Pulmonary fibrosis,Hurts to breath
Pulmonary fibrosis,Palpitations
Mitral valve disease,Sharp chest pain
Mitral valve disease,Palpitations
Mitral valve disease,Shortness of breath
Mitral valve disease,Fatigue
Mitral valve disease,Dizziness
Mitral valve disease,Chest tightness
Mitral valve disease,Increased heart rate
Mitral valve disease,Irregular heartbeat
Mitral valve disease,Weight gain
Mitral valve disease,Sweating
Mitral valve disease,Drainage in throat
Mitral valve disease,Nightmares
Parkinson disease,Abnormal involuntary movements
Parkinson disease,Problems with movement
Parkinson disease,Disturbance of memory
Parkinson disease,Dizziness
Parkinson disease,Weakness
Parkinson disease,Stiffness all over
Parkinson disease,Leg weakness
Parkinson disease,Focal weakness
Parkinson disease,Muscle stiffness or tightness
Parkinson disease,Difficulty speaking
Parkinson disease,Leg stiffness or tightness
Parkinson disease,Fears and phobias
Gout,Foot or toe pain
Gout,Knee pain
Gout,Foot or toe swelling
Gout,Ankle pain
Gout,Wrist pain
Gout,Hand or finger pain
Gout,Hand or finger swelling
Gout,Joint pain
Gout,Ankle swelling
Gout,Knee swelling
Gout,Leg swelling
Gout,Wrist swelling
Otitis media,Ear pain
Otitis media,Fever
Otitis media,Cough
Otitis media,Nasal congestion
Otitis media,Sore throat
Otitis media,Vomiting
Otitis media,Redness in ear
Otitis media,Pulling at ears
Otitis media,Coryza
Otitis media,Fluid in ear
Otitis media,Diminished hearing
Otitis media,Plugged feeling in ear
Drug abuse (opioids),Drug abuse
Drug abuse (opioids),Depressive or psychotic symptoms
Drug abuse (opioids),Depression
Drug abuse (opioids),Anxiety and nervousness
Drug abuse (opioids),Abusing alcohol
Drug abuse (opioids),Insomnia
Drug abuse (opioids),Delusions or hallucinations
Drug abuse (opioids),Excessive anger
Drug abuse (opioids),Temper problems
Drug abuse (opioids),Antisocial behavior
Drug abuse (opioids),Low self-esteem
Drug abuse (opioids),Restlessness
Myelodysplastic syndrome,Fatigue
Myelodysplastic syndrome,Chills
Myelodysplastic syndrome,Difficulty speaking
Myelodysplastic syndrome,Coughing up sputum
Fracture of the shoulder,Shoulder pain
Fracture of the shoulder,Arm pain
Fracture of the shoulder,Bones are painful
Fracture of the shoulder,Arm stiffness or tightness
Fracture of the shoulder,Shoulder swelling
Fracture of the shoulder,Fluid retention
Fracture of the shoulder,Shoulder stiffness or tightness
Fracture of the shoulder,Changes in stool appearance
Fracture of the shoulder,Mass on ear
Fracture of the shoulder,Arm weakness
Fracture of the shoulder,Stiffness all over
Fracture of the shoulder,Neck swelling
Acute kidney injury,Shortness of breath
Acute kidney injury,Weakness
Acute kidney injury,Vomiting
Acute kidney injury,Dizziness
Acute kidney injury,Nausea
Acute kidney injury,Sharp abdominal pain
Acute kidney injury,Sharp chest pain
Acute kidney injury,Kidney mass
Acute kidney injury,Symptoms of the kidneys
Acute kidney injury,Peripheral edema
Acute kidney injury,Blood in urine
Acute kidney injury,Retention of urine
Threatened pregnancy,Spotting or bleeding during pregnancy
Threatened pregnancy,Sharp abdominal pain
Threatened pregnancy,Pain during pregnancy
Threatened pregnancy,Uterine contractions
Threatened pregnancy,Problems during pregnancy
Threatened pregnancy,Lower abdominal pain
Threatened pregnancy,Cramps and spasms
Threatened pregnancy,Back pain
Threatened pregnancy,Intermenstrual bleeding
Threatened pregnancy,Pelvic pain
Threatened pregnancy,Blood clots during menstrual periods
Threatened pregnancy,Vaginal discharge
Intracranial abscess,Seizures
Intracranial abscess,Fever
Intracranial abscess,Back pain
Intracranial abscess,Headache
Intracranial abscess,Low back pain
Intracranial abscess,Depressive or psychotic symptoms
Intracranial abscess,Leg pain
Intracranial abscess,Fatigue
Intracranial abscess,Neck pain
Intracranial abscess,Sharp chest pain
Intracranial abscess,Weakness
Intracranial abscess,Slurring words
Gum disease,Toothache
Gum disease,Gum pain
Gum disease,Facial pain
Gum disease,Peripheral edema
Gum disease,Fever
Gum disease,Ear pain
Gum disease,Mouth ulcer
Gum disease,Mouth pain
Gum disease,Bleeding gums
Gum disease,Pain in gums
Gum disease,Lip swelling
Gum disease,Jaw swelling
Open wound from surgical incision,Skin lesion
Open wound from surgical incision,Skin swelling
Open wound from surgical incision,Recent pregnancy
Open wound from surgical incision,Knee swelling
Open wound from surgical incision,Flatulence
Open wound from surgical incision,Skin on leg or foot looks infected
Open wound from surgical incision,Heavy menstrual flow
Open wound from surgical incision,Sneezing
Gastrointestinal hemorrhage,Blood in stool
Gastrointestinal hemorrhage,Rectal bleeding
Gastrointestinal hemorrhage,Sharp abdominal pain
Gastrointestinal hemorrhage,Melena
Gastrointestinal hemorrhage,Vomiting
Gastrointestinal hemorrhage,Diarrhea
Gastrointestinal hemorrhage,Vomiting blood
Gastrointestinal hemorrhage,Changes in stool appearance
Gastrointestinal hemorrhage,Weakness
Gastrointestinal hemorrhage,Nausea
Gastrointestinal hemorrhage,Dizziness
Gastrointestinal hemorrhage,Fainting
Seborrheic dermatitis,Skin rash
Seborrheic dermatitis,Skin dryne
Seborrheic dermatitis,Abnormal appearing skin
Seborrheic dermatitis,Itching of skin
Seborrheic dermatitis,Irregular appearing scalp
Seborrheic dermatitis,Dry or flaky scalp
Seborrheic dermatitis,Itchy scalp
Seborrheic dermatitis,Acne or pimples
Seborrheic dermatitis,Skin lesion
Seborrheic dermatitis,Too little hair
Seborrheic dermatitis,Skin growth
Seborrheic dermatitis,Symptoms of the face
Drug abuse (methamphetamine),Drug abuse
Drug abuse (methamphetamine),Depressive or psychotic symptoms
Drug abuse (methamphetamine),Anxiety and nervousness
Drug abuse (methamphetamine),Depression
Drug abuse (methamphetamine),Shortness of breath
Drug abuse (methamphetamine),Delusions or hallucinations
Drug abuse (methamphetamine),Fears and phobias
Drug abuse (methamphetamine),Hostile behavior
Drug abuse (methamphetamine),Abusing alcohol
Drug abuse (methamphetamine),Palpitations
Drug abuse (methamphetamine),Feeling ill
Drug abuse (methamphetamine),Pain during pregnancy
Torticollis,Neck pain
Torticollis,Neck stiffness or tightness
Torticollis,Headache
Torticollis,Neck cramps or spasms
Torticollis,Shoulder pain
Torticollis,Back pain
Torticollis,Arm pain
Torticollis,Abnormal involuntary movements
Torticollis,Throat swelling
Torticollis,Cramps and spasms
Torticollis,Leg weakness
Torticollis,Shoulder lump or mass
Poisoning due to antihypertensives,Depressive or psychotic symptoms
Poisoning due to antihypertensives,Dizziness
Poisoning due to antihypertensives,Itching of skin
Poisoning due to antihypertensives,Skin rash
Poisoning due to antihypertensives,Weakness
Poisoning due to antihypertensives,Diarrhea
Poisoning due to antihypertensives,Nausea
Poisoning due to antihypertensives,Swollen tongue
Poisoning due to antihypertensives,Focal weakness
Poisoning due to antihypertensives,Sharp abdominal pain
Poisoning due to antihypertensives,Feeling hot
Poisoning due to antihypertensives,Allergic reaction
Tension headache,Headache
Tension headache,Neck pain
Tension headache,Nausea
Tension headache,Dizziness
Tension headache,Anxiety and nervousness
Tension headache,Chills
Tension headache,Neck stiffness or tightness
Tension headache,Painful menstruation
Tension headache,Painful sinuses
Tension headache,Symptoms of the face
Tension headache,Bleeding from ear
Tension headache,Back cramps or spasms
Alcohol intoxication,Abusing alcohol
Alcohol intoxication,Depressive or psychotic symptoms
Alcohol intoxication,Vomiting
Alcohol intoxication,Depression
Alcohol intoxication,Sharp abdominal pain
Alcohol intoxication,Sharp chest pain
Alcohol intoxication,Anxiety and nervousness
Alcohol intoxication,Nausea
Alcohol intoxication,Fainting
Alcohol intoxication,Abnormal involuntary movements
Alcohol intoxication,Delusions or hallucinations
Alcohol intoxication,Problems with movement
Scurvy,Sharp abdominal pain
Scurvy,Skin moles
Scurvy,Knee lump or mass
Scurvy,Excessive growth
Scurvy,Pelvic pressure
Scurvy,Vulvar sore
Scurvy,Loss of sex drive
Scurvy,Bedwetting
Scurvy,Neck cramps or spasms
Scurvy,Shoulder swelling
Scurvy,Eye strain
Scurvy,Joint stiffness or tightness
Narcolepsy,Sleepiness
Narcolepsy,Fatigue
Narcolepsy,Apnea
Narcolepsy,Headache
Narcolepsy,Abnormal involuntary movements
Narcolepsy,Shortness of breath
Narcolepsy,Abnormal breathing sounds
Narcolepsy,Insomnia
Narcolepsy,Weight gain
Narcolepsy,Temper problems
Narcolepsy,Disturbance of memory
Narcolepsy,Delusions or hallucinations
Food allergy,Allergic reaction
Food allergy,Skin rash
Food allergy,Itching of skin
Food allergy,Nasal congestion
Food allergy,Vomiting
Food allergy,Wheezing
Food allergy,Cough
Food allergy,Abnormal appearing skin
Food allergy,Lip swelling
Food allergy,Peripheral edema
Food allergy,Sneezing
Food allergy,Hand or finger swelling
Labyrinthitis,Dizziness
Labyrinthitis,Nausea
Labyrinthitis,Vomiting
Labyrinthitis,Headache
Labyrinthitis,Weakness
Labyrinthitis,Ear pain
Labyrinthitis,Loss of sensation
Labyrinthitis,Diminished hearing
Labyrinthitis,Ringing in ear
Labyrinthitis,Plugged feeling in ear
Labyrinthitis,Sweating
Labyrinthitis,Spots or clouds in vision
Anxiety,Anxiety and nervousness
Anxiety,Depression
Anxiety,Sharp chest pain
Anxiety,Depressive or psychotic symptoms
Anxiety,Shortness of breath
Anxiety,Headache
Anxiety,Insomnia
Anxiety,Palpitations
Anxiety,Abnormal involuntary movements
Anxiety,Irregular heartbeat
Anxiety,Fears and phobias
Anxiety,Increased heart rate
Impulse control disorder,Depressive or psychotic symptoms
Impulse control disorder,Anxiety and nervousness
Impulse control disorder,Hostile behavior
Impulse control disorder,Depression
Impulse control disorder,Excessive anger
Impulse control disorder,Temper problems
Impulse control disorder,Insomnia
Impulse control disorder,Obsessions and compulsions
Impulse control disorder,Delusions or hallucinations
Impulse control disorder,Excessive appetite
Impulse control disorder,Antisocial behavior
Impulse control disorder,Long menstrual periods
Stenosis of the tear duct,Lacrimation
Stenosis of the tear duct,Symptoms of eye
Stenosis of the tear duct,Eye redness
Stenosis of the tear duct,Nasal congestion
Stenosis of the tear duct,Cough
Stenosis of the tear duct,Abnormal movement of eyelid
Stenosis of the tear duct,Skin rash
Stenosis of the tear duct,Diaper rash
Stenosis of the tear duct,Decreased appetite
Stenosis of the tear duct,Eye burns or stings
Stenosis of the tear duct,Eyelid swelling
Stenosis of the tear duct,White discharge from eye
Abscess of nose,Nasal congestion
Abscess of nose,Cough
Abscess of nose,Fever
Abscess of nose,Coryza
Abscess of nose,Sore throat
Abscess of nose,Sinus congestion
Abscess of nose,Ear pain
Abscess of nose,Vomiting
Abscess of nose,Headache
Abscess of nose,Abnormal breathing sounds
Abscess of nose,Irritable infant
Abscess of nose,Decreased appetite
Omphalitis,Irregular belly button
Omphalitis,Flatulence
Omphalitis,Irritable infant
Omphalitis,Diaper rash
Omphalitis,Jaundice
Omphalitis,Skin rash
Omphalitis,Low back weakness
Omphalitis,Back weakness
Omphalitis,Emotional symptoms
Omphalitis,Pus in sputum
Omphalitis,Elbow cramps or spasms
Omphalitis,Muscle swelling
Leukemia,Fatigue
Leukemia,Fever
Leukemia,Mouth pain
Leukemia,Pallor
Leukemia,Muscle stiffness or tightness
Leukemia,Symptoms of the kidneys
Leukemia,Bleeding gums
Bell palsy,Focal weakness
Bell palsy,Loss of sensation
Bell palsy,Symptoms of the face
Bell palsy,Headache
Bell palsy,Facial pain
Bell palsy,Weakness
Bell palsy,Peripheral edema
Bell palsy,Symptoms of eye
Bell palsy,Paresthesia
Bell palsy,Diminished vision
Bell palsy,Eyelid lesion or rash
Bell palsy,Abnormal involuntary movements
Conjunctivitis due to allergy,Eye redness
Conjunctivitis due to allergy,Itchiness of eye
Conjunctivitis due to allergy,Pain in eye
Conjunctivitis due to allergy,Lacrimation
Conjunctivitis due to allergy,Nasal congestion
Conjunctivitis due to allergy,Swollen eye
Conjunctivitis due to allergy,Eye burns or stings
Conjunctivitis due to allergy,Symptoms of eye
Conjunctivitis due to allergy,Diminished vision
Conjunctivitis due to allergy,Allergic reaction
Conjunctivitis due to allergy,Cough
Conjunctivitis due to allergy,Sneezing
Drug reaction,Skin rash
Drug reaction,Allergic reaction
Drug reaction,Itching of skin
Drug reaction,Dizziness
Drug reaction,Peripheral edema
Drug reaction,Lip swelling
Drug reaction,Nausea
Drug reaction,Shortness of breath
Drug reaction,Headache
Drug reaction,Vomiting
Drug reaction,Abnormal appearing skin
Drug reaction,Throat swelling
Adrenal cancer,Skin rash
Adrenal cancer,Dizziness
Adrenal cancer,Cough
Adrenal cancer,Diaper rash
Adrenal cancer,Sweating
Adrenal cancer,Chills
Adrenal cancer,Diminished hearing
