Disease,Medication
Attention deficit hyperactivity disorder (ADHD),Oxcarbazepine (Trileptal)
Attention deficit hyperactivity disorder (ADHD),Melatonin
Attention deficit hyperactivity disorder (ADHD),Dextroamphetamine (Adderall)
Attention deficit hyperactivity disorder (ADHD),Cyproheptadine
Neuromyelitis optica,Azathioprine
Neuromyelitis optica,Baclofen
Neuromyelitis optica,Carbamazepine
Neuromyelitis optica,Polyethylene Glycol 3350 (Miralax)
Neuromyelitis optica,Pregabalin (Lyrica)
Neuromyelitis optica,Nitrofurantoin
Neuromyelitis optica,Paroxetine (Paxil)
Neuromyelitis optica,Docusate (Colace)
Neuromyelitis optica,Oxycodone
Neuromyelitis optica,Gabapentin
Neuromyelitis optica,Ciprofloxacin
Neuromyelitis optica,Air
Pulmonic valve disease,Ofloxacin
Pulmonic valve disease,Chickenpox Vaccine (Shingles Vaccine)
Pulmonic valve disease,Mecamylamine
Pulmonic valve disease,Grepafloxacin (Raxar)
Pulmonic valve disease,Malathion Topical
Pulmonic valve disease,Gemtuzumab (Mylotarg)
Pulmonic valve disease,Gadoteridol (Prohance)
Pulmonic valve disease,Devil'S Claw Preparation
Pulmonic valve disease,Isocarboxazid (Marplan)
Pulmonic valve disease,Medrysone Ophthalmic
Pulmonic valve disease,Magnesium Lactate
Tietze syndrome,Methyl Salicylate-Menthol Topical
Tietze syndrome,Bivalirudin
Tietze syndrome,Fluoride Topical
Tietze syndrome,Triprolidine (Actifed)
Tietze syndrome,Arnica Topical
Tietze syndrome,Trolamine Salicylate Topical
Tietze syndrome,Tazarotene Topical
Cranial nerve palsy,Botulinum Toxin Type A (Botox)
Cranial nerve palsy,Botulism Antitoxin
Cranial nerve palsy,Cyclopentolate Ophthalmic
Cranial nerve palsy,Olopatadine Ophthalmic
Cranial nerve palsy,Pergolide
Cranial nerve palsy,Mumps Vaccine
Cranial nerve palsy,Rimabotulinumtoxinb (Myobloc)
Cranial nerve palsy,Erythromycin Topical Product
Cranial nerve palsy,Measles Vaccine
Cranial nerve palsy,Rubella Virus Vaccine
Cranial nerve palsy,Tegaserod (Zelnorm)
Injury to the arm,Piroxicam
Injury to the arm,Trimethadione
Injury to the arm,Benzalkonium Chloride Topical
Injury to the arm,Cladribine
Injury to the arm,Bromfenac (Bromday)
Injury to the arm,Turmeric Extract
Injury to the arm,Estazolam
Injury to the arm,Mefloquine
Injury to the arm,Tolnaftate Topical
Injury to the arm,Teriparatide (Forteo)
Injury to the arm,Balsalazide
Conversion disorder,Venlafaxine (Effexor)
Conversion disorder,Mirtazapine
Conversion disorder,Levetiracetam (Keppra)
Conversion disorder,Omega-3 Fatty Acids
Conversion disorder,Estropipate (Ogen)
Conversion disorder,Sulindac
Conversion disorder,Zaleplon (Sonata)
Conversion disorder,Fluvoxamine (Luvox)
Conversion disorder,Sulfasalazine
Conversion disorder,Naloxone (Suboxone)
Conversion disorder,Zonisamide
Complex regional pain syndrome,Gabapentin
Complex regional pain syndrome,Pregabalin (Lyrica)
Complex regional pain syndrome,Amitriptyline
Complex regional pain syndrome,Methadone
Complex regional pain syndrome,Baclofen
Complex regional pain syndrome,Lidocaine-Prilocaine Topical
Complex regional pain syndrome,Buprenorphine (Suboxone)
Complex regional pain syndrome,Milnacipran (Savella)
Complex regional pain syndrome,Midodrine
Complex regional pain syndrome,Flunisolide Nasal
Complex regional pain syndrome,Tenofovir
Complex regional pain syndrome,Combivir
Complex regional pain syndrome,Sorbitol
Otosclerosis,Droperidol
Otosclerosis,Clozapine
Otosclerosis,Calcium Citrate
Otosclerosis,Ibandronate (Boniva)
Otosclerosis,Niacin
Otosclerosis,Ezetimibe (Zetia)
Otosclerosis,Phenytoin (Dilantin)
Otosclerosis,Calcium Carbonate
Otosclerosis,Meclizine
Otosclerosis,Celecoxib (Celebrex)
Otosclerosis,Mecamylamine
Injury to the trunk,Metaxalone (Skelaxin)
Injury to the trunk,Podofilox Topical
Injury to the trunk,Flurazepam
Injury to the trunk,Orlistat (Alli)
Injury to the trunk,Collagen
Injury to the trunk,Ioversol
Injury to the trunk,Iopamidol (Isovue)
Injury to the trunk,Diphtheria Toxoid Vaccine (Prohibit)
Injury to the trunk,Econazole Topical
Hypothyroidism,Thyroxine (Synthroid)
Hypothyroidism,Thyroid (Usp) (Armour Thyroid)
Hypothyroidism,Triiodothyronine (Cytomel)
Hypothyroidism,Dofetilide (Tikosyn)
Hypothyroidism,Pramlintide (Symlin)
Hypothyroidism,Decitabine
Hypothyroidism,Bifidobacterium Infantis (Align)
Hypothyroidism,Interferon Alfacon-1 (Infergen)
Hypothyroidism,Pentostatin
Hypothyroidism,Azacitidine (Vidaza)
Hypothyroidism,Sodium Hyaluronate Ophthalmic
Hypothyroidism,Azatadine (Optimine)
Primary insomnia,Zolpidem (Ambien)
Primary insomnia,Clonazepam
Primary insomnia,Melatonin
Primary insomnia,Memantine (Namenda)
Primary insomnia,Zinc Sulfate
Primary insomnia,Modafinil (Provigil)
Primary insomnia,Pramipexole (Mirapex)
Primary insomnia,Atomoxetine (Strattera)
Primary insomnia,Eszopiclone (Lunesta)
Primary insomnia,Eprosartan (Teveten)
Primary insomnia,Dihydroergotamine
Primary insomnia,Coal Tar Topical
Primary insomnia,Milnacipran (Savella)
Lice,Permethrin Topical
Lice,Lindane Topical
Lice,Piperonyl Butoxide-Pyrethrins Topical
Lice,Triamcinolone
Lice,Malathion Topical
Lice,Nicotine
Lice,Piperonyl Butoxide Topical
Lice,Benzyl Alcohol Topical
Lice,Alclometasone Topical
Lice,Purified Protein Derivative Of Tuberculin (Tubersol)
Lice,Cefixime (Suprax)
Lice,Brinzolamide Ophthalmic
Vitamin B12 deficiency,Vitamin B 12
Vitamin B12 deficiency,Donepezil (Aricept)
Vitamin B12 deficiency,Epoetin Alfa (Procrit)
Vitamin B12 deficiency,Cholecalciferol
Vitamin B12 deficiency,Darbepoetin Alfa (Aranesp)
Vitamin B12 deficiency,Entacapone (Comtan)
Vitamin B12 deficiency,Pyridostigmine (Mestinon)
Vitamin B12 deficiency,Flecainide
Vitamin B12 deficiency,Primidone
Vitamin B12 deficiency,Azathioprine
Vitamin B12 deficiency,Letrozole (Femara)
Diabetes,Metformin
Diabetes,Insulin
Diabetes,Insulin Glargine (Lantus)
Diabetes,Glipizide
Diabetes,Insul
Diabetes,Pioglitazone (Actos)
Diabetes,Glyburide
Diabetes,Glimepiride
Diabetes,Rosiglitazone (Avandia)
Diabetes,Quinapril
Diabetes,Sitagliptin (Januvia)
Diabetes,Exenatide (Byetta)
Vulvodynia,Norethindrone (Loestrin Fe)
Vulvodynia,Sevoflurane
Vulvodynia,Methylergonovine (Methergine)
Vulvodynia,Rocuronium
Vulvodynia,Mefenamic Acid
Vulvodynia,Mebendazole
Vulvodynia,Ceftriaxone-Lidocaine
Vulvodynia,Methylene Blue
Vulvodynia,Tromethamine
Vulvodynia,Diphtheria Antitoxin
Vulvodynia,Tinidazole
Vulvodynia,Liraglutide (Victoza)
Vulvodynia,Corticotropin (Acthar)
Endometriosis,Leuprolide (Lupron)
Endometriosis,Medroxyprogesterone
Endometriosis,Portia
Endometriosis,Clomiphene (Clomid)
Endometriosis,Norethindrone (Loestrin Fe)
Endometriosis,Progesterone
Endometriosis,Human Chorionic Gonadotropin (Hcg)
Endometriosis,Modicon
Endometriosis,Rocuronium
Endometriosis,Sevoflurane
Endometriosis,Butorphanol (Stadol)
Vasculitis,Methotrexate
Vasculitis,Mycophenolate Mofetil (Cellcept)
Vasculitis,Cyclophosphamide
Vasculitis,Collagenase Topical
Vasculitis,Raloxifene (Evista)
Vasculitis,Hydroxychloroquine (Plaquenil)
Vasculitis,Chloral Hydrate
Vasculitis,Cyclosporine
Vasculitis,Regadenoson (Lexiscan)
Vasculitis,Cholestyramine Resin (Questran)
Vasculitis,Salmeterol
Vasculitis,Lidocaine-Prilocaine Topical
Vasculitis,Hydroxyurea
Concussion,Modafinil (Provigil)
Concussion,Diphtheria Toxoid Vaccine (Prohibit)
Concussion,Cefmetazole
Concussion,Gadopentetate Dimeglumine (Magnevist)
Concussion,Atracurium
Concussion,Beractant (Survanta)
Concussion,Etomidate
Concussion,Factor Ix Complex (Obsolete)
Concussion,Pancuronium
Concussion,Pimozide (Orap)
Concussion,Trifluoperazine (Stelazine)
Concussion,Caffeine
Oral leukoplakia,Vitamin A
Oral leukoplakia,Hydrogen Peroxide Topical
Oral leukoplakia,Acyclovir
Oral leukoplakia,Epinephrine
Oral leukoplakia,Paroxetine (Paxil)
Oral leukoplakia,Clindamycin
Oral leukoplakia,Mecamylamine
Oral leukoplakia,Grepafloxacin (Raxar)
Oral leukoplakia,Malathion Topical
Oral leukoplakia,Gemtuzumab (Mylotarg)
Oral leukoplakia,Gadoteridol (Prohance)
Chronic kidney disease,Darbepoetin Alfa (Aranesp)
Chronic kidney disease,Epoetin Alfa (Procrit)
Chronic kidney disease,Allopurinol
Chronic kidney disease,Nifedipine
Chronic kidney disease,Hydralazine
Chronic kidney disease,Calcitriol
Chronic kidney disease,Labetalol
Chronic kidney disease,Mycophenolate Mofetil (Cellcept)
Chronic kidney disease,Tacrolimus (Prograf)
Chronic kidney disease,Sodium Bicarbonate
Chronic kidney disease,Sodium Polystyrene Sulfonate (Kayexalate)
Chronic kidney disease,Colchicine
Chronic kidney disease,Sevelamer (Renvela)
Bladder disorder,Tamsulosin (Flomax)
Bladder disorder,Solifenacin (Vesicare)
Bladder disorder,Oxybutynin
Bladder disorder,Phenazopyridine (Azo)
Bladder disorder,Tolterodine (Detrol)
Bladder disorder,Finasteride (Propecia)
Bladder disorder,Alfuzosin (Uroxatral)
Bladder disorder,Dutasteride (Avodart)
Bladder disorder,Darifenacin (Enablex)
Bladder disorder,Flavoxate (Urispas)
Bladder disorder,Thyrotropin Alfa (Usp) (Thyrogen)
Chorioretinitis,Prednisolone Ophthalmic
Chorioretinitis,Tropicamide Ophthalmic
Chorioretinitis,Phenylephrine (Duramax)
Chorioretinitis,Suprofen Ophthalmic
Chorioretinitis,Timolol
Chorioretinitis,Atropine (Uaa)
Chorioretinitis,Methotrexate
Chorioretinitis,Tranylcypromine (Parnate)
Chorioretinitis,Fluorescein
Chorioretinitis,Vitamin A
Chorioretinitis,Zidovudine
Chorioretinitis,Dextroamphetamine (Adderall)
Chorioretinitis,Brinzolamide Ophthalmic
Priapism,Phenylephrine (Duramax)
Priapism,Terbutaline
Priapism,Pseudoephedrine (Pcm-La)
Priapism,Leuprolide (Lupron)
Priapism,Diazepam (Valium)
Priapism,Phentolamine
Priapism,Papaverine
Priapism,Albumin Hum
Priapism,Bromocriptine
Priapism,Hydroxyurea
Priapism,Baclofen
Priapism,Sildenafil (Viagra)
Priapism,Cefazolin
Myositis,Methotrexate
Myositis,Folic Acid
Myositis,Mycophenolate Mofetil (Cellcept)
Myositis,Azathioprine
Myositis,Hydroxychloroquine (Plaquenil)
Myositis,Immunoglobuli
Myositis,Intramuscular Immunoglobulin (Baygam)
Myositis,Cyclosporine
Myositis,Fluocinonide Topical
Myositis,Desloratadine (Clarinex)
Myositis,Formaldehyde Topical
Myositis,Imipenem
Mononucleosis,Dexamethasone Topical Product
Mononucleosis,Adapalene Topical
Mononucleosis,Phentermine
Mononucleosis,Nalbuphine (Nubain)
Mononucleosis,Cat'S Claw Preparation
Mononucleosis,Tromethamine
Mononucleosis,Cladribine
Mononucleosis,Intramuscular Immunoglobulin (Baygam)
Mononucleosis,Lipase
Mononucleosis,Desoximetasone Topical
Mononucleosis,Ramelteon (Rozerem)
Neuralgia,Gabapentin
Neuralgia,Pregabalin (Lyrica)
Neuralgia,Carisoprodol (Soma)
Neuralgia,Tizanidine
Neuralgia,Botulism Antitoxin
Neuralgia,Almotriptan (Axert)
Neuralgia,Colesevelam (Welchol)
Neuralgia,Chloroprocaine
Neuralgia,Bellergal-S
Neuralgia,Ammonium Lactate Topical
Polycystic kidney disease,Tacrolimus (Prograf)
Polycystic kidney disease,Nifedipine
Polycystic kidney disease,Cinacalcet (Sensipar)
Polycystic kidney disease,Irbesartan (Avapro)
Polycystic kidney disease,Valganciclovir (Valcyte)
Polycystic kidney disease,Sevelamer (Renvela)
Polycystic kidney disease,Calcitriol
Polycystic kidney disease,Dutasteride (Avodart)
Polycystic kidney disease,Finasteride (Propecia)
Polycystic kidney disease,Paricalcitol (Zemplar)
Polycystic kidney disease,Mycophenolic Acid (Myfortic)
Polycystic kidney disease,Calcium Acetate
Bipolar disorder,Quetiapine (Seroquel)
Bipolar disorder,Lamotrigine (Lamictal)
Bipolar disorder,Divalproex Sodium (Depakote)
Bipolar disorder,Lithium (Li)
Bipolar disorder,Aripiprazole (Abilify)
Bipolar disorder,Clonazepam
Bipolar disorder,Risperidone
Bipolar disorder,Bupropion (Wellbutrin)
Bipolar disorder,Olanzapine (Zyprexa)
Bipolar disorder,Ziprasidone (Geodon)
Bipolar disorder,Benztropine
Bipolar disorder,Oxcarbazepine (Trileptal)
Bipolar disorder,Haloperidol
Amyloidosis,Furosemide
Amyloidosis,Thyroxine (Synthroid)
Amyloidosis,Melphalan
Amyloidosis,Dexamethasone
Amyloidosis,Ezetimibe (Zetia)
Amyloidosis,Citalopram (Celexa)
Amyloidosis,Pantoprazole
Amyloidosis,Sodium Hypochlorite Topical
Amyloidosis,Tazarotene Topical
Amyloidosis,Fludrocortisone
Amyloidosis,Hydrocortisone
Amyloidosis,Rituximab
Chronic inflammatory demyelinating polyneuropathy (CIDP),Immunoglobuli
Chronic inflammatory demyelinating polyneuropathy (CIDP),Gabapentin
Chronic inflammatory demyelinating polyneuropathy (CIDP),Azathioprine
Chronic inflammatory demyelinating polyneuropathy (CIDP),Vitamin B 12
Chronic inflammatory demyelinating polyneuropathy (CIDP),Amitriptyline
Chronic inflammatory demyelinating polyneuropathy (CIDP),Triamcinolone
Chronic inflammatory demyelinating polyneuropathy (CIDP),Ergocalciferol
Chronic inflammatory demyelinating polyneuropathy (CIDP),Intramuscular Immunoglobulin (Baygam)
Chronic inflammatory demyelinating polyneuropathy (CIDP),Indapamide
Chronic inflammatory demyelinating polyneuropathy (CIDP),Glatiramer (Copaxone)
Chronic inflammatory demyelinating polyneuropathy (CIDP),Piroxicam
Chronic inflammatory demyelinating polyneuropathy (CIDP),Selenium Sulfide Topical
Chronic inflammatory demyelinating polyneuropathy (CIDP),Pramipexole (Mirapex)
Gastroesophageal reflux disease (GERD),Omeprazole
Gastroesophageal reflux disease (GERD),Esomeprazole (Nexium)
Gastroesophageal reflux disease (GERD),Ranitidine
Gastroesophageal reflux disease (GERD),Lansoprazole (Prevacid)
Gastroesophageal reflux disease (GERD),Pantoprazole
Gastroesophageal reflux disease (GERD),Rabeprazole (Aciphex)
Gastroesophageal reflux disease (GERD),Sucralfate (Carafate)
Gastroesophageal reflux disease (GERD),Dexlansoprazole (Dexilant)
Gastroesophageal reflux disease (GERD),Nizatidine (Axid)
Gastroesophageal reflux disease (GERD),Aluminum Hydroxide (M.A.H.)
Vitreous hemorrhage,Prednisolone Ophthalmic
Vitreous hemorrhage,Tropicamide Ophthalmic
Vitreous hemorrhage,Phenylephrine (Duramax)
Vitreous hemorrhage,Brimonidine Ophthalmic
Vitreous hemorrhage,Moxifloxacin (Avelox)
Vitreous hemorrhage,Bevacizumab (Avastin)
Vitreous hemorrhage,Ranibizumab Ophthalmic
Vitreous hemorrhage,Gatifloxacin (Zymar)
Vitreous hemorrhage,Benoxinate-Fluorescein Ophthalmic
Vitreous hemorrhage,Homatropine Ophthalmic
Vitreous hemorrhage,Brimonidine-Timolol Ophthalmic
Vitreous hemorrhage,Cyclopentolate Ophthalmic
Vitreous hemorrhage,Atropine (Uaa)
Poisoning due to antimicrobial drugs,Diphenhydramine (Benadryl)
Poisoning due to antimicrobial drugs,Prednisone
Poisoning due to antimicrobial drugs,Methylprednisolone (Medrol)
Poisoning due to antimicrobial drugs,Hydroxyzine
Poisoning due to antimicrobial drugs,Famotidine
Poisoning due to antimicrobial drugs,Ranitidine
Poisoning due to antimicrobial drugs,Bupropion (Wellbutrin)
Poisoning due to antimicrobial drugs,Epinephrine
Poisoning due to antimicrobial drugs,Clindamycin
Poisoning due to antimicrobial drugs,Prochlorperazine (Compro)
Poisoning due to antimicrobial drugs,Nicardipine
Poisoning due to antimicrobial drugs,Levonorgestrel
Poisoning due to antimicrobial drugs,Nalbuphine (Nubain)
Open wound of the mouth,Clindamycin
Open wound of the mouth,Chlorhexidine Topical
Open wound of the mouth,Ketamine
Open wound of the mouth,Atropine (Uaa)
Open wound of the mouth,Hydrogen Peroxide Topical
Open wound of the mouth,Fosphenytoin
Open wound of the mouth,Glycopyrrolate
Open wound of the mouth,Cortisone
Scleroderma,Clobetasol Topical
Scleroderma,Hydrocortisone Topical
Scleroderma,Lactic Acid Topical
Scleroderma,Urea Topical
Scleroderma,Petrolatum Topical
Scleroderma,Mycophenolate Mofetil (Cellcept)
Scleroderma,Desonide Topical
Scleroderma,Tretinoin Topical
Scleroderma,Fluocinolone Topical
Scleroderma,Salicylic Acid Topical
Scleroderma,Terbinafine Topical
Scleroderma,Candesartan (Atacand)
Scleroderma,Fluocinonide Topical
Myasthenia gravis,Pyridostigmine (Mestinon)
Myasthenia gravis,Prednisone
Myasthenia gravis,Azathioprine
Myasthenia gravis,Mycophenolate Mofetil (Cellcept)
Myasthenia gravis,Vitamin B 12
Myasthenia gravis,Neostigmine
Myasthenia gravis,Dexamethasone
Myasthenia gravis,Nabumetone
Myasthenia gravis,Immunoglobuli
Myasthenia gravis,Methimazole
Myasthenia gravis,Cyclosporine
Myasthenia gravis,Bumetanide
Myasthenia gravis,Hyoscyamine (A-Spas)
Hypoglycemia,Glucagon
Hypoglycemia,Sodium Polystyrene Sulfonate (Kayexalate)
Hypoglycemia,Dopamine
Hypoglycemia,Adenosine
Hypoglycemia,Octreotide
Hypoglycemia,Vecuronium
Hypoglycemia,Corn Starch Topical
Hypoglycemia,Lvp Solution
Hypoglycemia,Diazoxide
Hypoglycemia,Urofollitropin (Bravelle)
Hypoglycemia,Pancuronium
Idiopathic absence of menstruation,Medroxyprogesterone
Idiopathic absence of menstruation,Ortho Cyclen
Idiopathic absence of menstruation,Progesterone
Idiopathic absence of menstruation,Nonoxynol 9 Topical
Idiopathic absence of menstruation,Modicon
Idiopathic absence of menstruation,Terconazole Topical
Idiopathic absence of menstruation,Multivitam
Idiopathic absence of menstruation,Clomiphene (Clomid)
Idiopathic absence of menstruation,Metronidazole Topical Product
Idiopathic absence of menstruation,Human Chorionic Gonadotropin (Hcg)
Idiopathic absence of menstruation,Miconazole Topical Product
Idiopathic absence of menstruation,Dexfenfluramine (Redux)
Idiopathic absence of menstruation,Norgestrel
Dislocation of the ankle,Percocet
Dislocation of the ankle,Fentanyl
Dislocation of the ankle,Hydromorphone (Dilaudid)
Dislocation of the ankle,Morphine (Rms)
Dislocation of the ankle,Glucosamine
Dislocation of the ankle,Propofol
Dislocation of the ankle,Cefazolin
Dislocation of the ankle,Midazolam (Versed)
Dislocation of the ankle,Mecamylamine
Dislocation of the ankle,Grepafloxacin (Raxar)
Dislocation of the ankle,Malathion Topical
Carbon monoxide poisoning,Oxygen
Carbon monoxide poisoning,Simethicone (Degas)
Carbon monoxide poisoning,Mecamylamine
Carbon monoxide poisoning,Grepafloxacin (Raxar)
Carbon monoxide poisoning,Malathion Topical
Carbon monoxide poisoning,Gemtuzumab (Mylotarg)
Carbon monoxide poisoning,Gadoteridol (Prohance)
Carbon monoxide poisoning,Devil'S Claw Preparation
Carbon monoxide poisoning,Isocarboxazid (Marplan)
Carbon monoxide poisoning,Medrysone Ophthalmic
Carbon monoxide poisoning,Magnesium Lactate
Panic attack,Lorazepam
Panic attack,Sodium Salicylate
Panic attack,Etanercept (Enbrel)
Panic attack,Varenicline (Chantix)
Panic attack,Oxymetazoline Nasal
Panic attack,Etodolac
Panic attack,Felodipine
Panic attack,Rosiglitazone (Avandia)
Panic attack,Pseudoephedrine (Pcm-La)
Panic attack,Mecamylamine
Panic attack,Grepafloxacin (Raxar)
Panic attack,Malathion Topical
Plantar fasciitis,Triamcinolone Topical Product
Plantar fasciitis,Etodolac
Plantar fasciitis,Nabumetone
Plantar fasciitis,Indomethacin
Plantar fasciitis,Betamethasone Topical Product
Plantar fasciitis,Zolmitriptan (Zomig)
Plantar fasciitis,Selenium Sulfide Topical
Plantar fasciitis,Cortisone
Plantar fasciitis,Angelica Sinensis Preparation (Toki)
Plantar fasciitis,Trolamine Salicylate Topical
Hyperopia,Tropicamide Ophthalmic
Hyperopia,Phenylephrine (Duramax)
Hyperopia,Cyclopentolate Ophthalmic
Hyperopia,Atropine (Uaa)
Hyperopia,Proparacaine Ophthalmic
Hyperopia,Fluorescein
Hyperopia,Nepafenac Ophthalmic
Hyperopia,Dexamethasone-Tobramycin Ophthalmic
Hyperopia,Cyclopentolate-Phenylephrine Ophthalmic
Hyperopia,Azelastine Ophthalmic
Hyperopia,Fluorometholone Ophthalmic
Hyperopia,Benzylpenicilloyl Polylysine (Pre-Pen)
Hyperopia,Brimonidine-Timolol Ophthalmic
Poisoning due to sedatives,Charcoal
Poisoning due to sedatives,Naloxone (Suboxone)
Poisoning due to sedatives,Haloperidol
Poisoning due to sedatives,Flumazenil
Poisoning due to sedatives,Thiamine
Poisoning due to sedatives,Nicotine
Poisoning due to sedatives,Charcoal-Sorbitol
Poisoning due to sedatives,Sorbitol
Poisoning due to sedatives,Ferrous Sulfate
Poisoning due to sedatives,Acetylcysteine
Poisoning due to sedatives,Dopamine
Poisoning due to sedatives,Cefprozil
Poisoning due to sedatives,Chlordiazepoxide
Pemphigus,Prednisone
Pemphigus,Azathioprine
Pemphigus,Clobetasol Topical
Pemphigus,Mycophenolate Mofetil (Cellcept)
Pemphigus,Triamcinolone
Pemphigus,Dapsone
Pemphigus,Fluocinonide Topical
Pemphigus,Minocycline
Pemphigus,Oxybutynin
Pemphigus,Mupirocin Topical
Pemphigus,Miglustat (Zavesca)
Pemphigus,Nitrofurazone Topical
Pemphigus,Methazolamide (Mzm)
Peyronie disease,Vitamin E (Vita-E)
Peyronie disease,Pentoxifylline
Peyronie disease,Sildenafil (Viagra)
Peyronie disease,Verapamil (Univer)
Peyronie disease,Tamsulosin (Flomax)
Peyronie disease,Olmesartan (Benicar)
Peyronie disease,Fenofibrate (Tricor)
Peyronie disease,Potassium Aminobenzoate (Potaba)
Peyronie disease,Quinidine
Peyronie disease,Halobetasol Topical
Peyronie disease,Indapamide
Peyronie disease,Alfuzosin (Uroxatral)
Hiatal hernia,Midazolam (Versed)
Hiatal hernia,Pantoprazole
Hiatal hernia,Fentanyl
Hiatal hernia,Meperidine (Demerol)
Hiatal hernia,Sucralfate (Carafate)
Hiatal hernia,Raloxifene (Evista)
Hiatal hernia,Dexlansoprazole (Dexilant)
Hiatal hernia,Mesalamine (Asacol)
Hiatal hernia,Thyroid (Usp) (Armour Thyroid)
Hiatal hernia,Azelastine Nasal
Hiatal hernia,Tetracycline
Hiatal hernia,Simethicone (Degas)
Extrapyramidal effect of drugs,Clonazepam
Extrapyramidal effect of drugs,Benztropine
Extrapyramidal effect of drugs,Pramipexole (Mirapex)
Extrapyramidal effect of drugs,Baclofen
Extrapyramidal effect of drugs,Donepezil (Aricept)
Extrapyramidal effect of drugs,Levetiracetam (Keppra)
Extrapyramidal effect of drugs,Trihexyphenidyl (Artane)
Extrapyramidal effect of drugs,Propranolol
Extrapyramidal effect of drugs,Amantadine
Extrapyramidal effect of drugs,Haloperidol
Extrapyramidal effect of drugs,Botulinum Toxin Type A (Botox)
Extrapyramidal effect of drugs,Ropinirole
Meniere disease,Meclizine
Meniere disease,Estroge
Meniere disease,Triamterene
Meniere disease,Hyoscyamine (A-Spas)
Meniere disease,Yohimbine
Meniere disease,Dimenhydrinate (Dramamine)
Meniere disease,Trandolapril
Meniere disease,Dipyridamole
Meniere disease,Pancreatin
Meniere disease,Chlorthalidone
Meniere disease,Sulindac
Meniere disease,Calcium-Vitamin D
Anal fissure,Docusate (Colace)
Anal fissure,Hydrocortisone Topical
Anal fissure,Polyethylene Glycol 3350 (Miralax)
Anal fissure,Psyllium
Anal fissure,Magnesium Sulfate
Anal fissure,Sodium Citrate
Anal fissure,Pramoxine Topical
Anal fissure,Methylcellulose (Citrucel)
Anal fissure,Glycerin (Fleet)
Anal fissure,Terbinafine Topical
Anal fissure,Emtricitabine-Tenofovir
Anal fissure,Bisacodyl (The Magic Bullet)
Allergy,Diphenhydramine (Benadryl)
Allergy,Prednisone
Allergy,Methylprednisolone (Medrol)
Allergy,Famotidine
Allergy,Hydroxyzine
Allergy,Epinephrine
Allergy,Cetirizine (Zyrtec)
Allergy,Prednisolone
Allergy,Cimetidine
Allergy,Levocetirizine (Xyzal)
Allergy,Colloidal Oatmeal Topical
Allergy,Calamine Topical
Allergy,Ticlopidine
Chronic otitis media,Ofloxacin
Chronic otitis media,Cefdinir
Chronic otitis media,Sevoflurane
Chronic otitis media,Nitrofurazone Topical
Chronic otitis media,Cefixime (Suprax)
Chronic otitis media,Phenol Topical
Chronic otitis media,Cefprozil
Chronic otitis media,Fluticasone
Chronic otitis media,Molindone (Moban)
Chronic otitis media,Phenylephrine Nasal
Chronic otitis media,Saccharomyces Boulardii Lyo (Florastor)
Fracture of the finger,Cefazolin
Fracture of the finger,Nitrous Oxide
Fracture of the finger,Lidocaine Topical Product
Fracture of the finger,Isoflurane (Terrell)
Fracture of the finger,Potassium Perchlorate
Fracture of the finger,Lecithin
Fracture of the finger,Ephedrine (Kie)
Fracture of the finger,Metaproterenol (Alupent)
Hirschsprung disease,Polyethylene Glycol 3350 (Miralax)
Hirschsprung disease,Ranitidine
Hirschsprung disease,Nizatidine (Axid)
Hirschsprung disease,Simethicone (Degas)
Hirschsprung disease,Bisacodyl (The Magic Bullet)
Hirschsprung disease,Metronidazole
Hirschsprung disease,Mecamylamine
Hirschsprung disease,Grepafloxacin (Raxar)
Hirschsprung disease,Malathion Topical
Hirschsprung disease,Gemtuzumab (Mylotarg)
Hirschsprung disease,Gadoteridol (Prohance)
Polymyalgia rheumatica,Prednisone
Polymyalgia rheumatica,Atenolol
Polymyalgia rheumatica,Alendronate
Polymyalgia rheumatica,Calcium Carbonate
Polymyalgia rheumatica,Methotrexate
Polymyalgia rheumatica,Carbidopa
Polymyalgia rheumatica,Rituximab
Polymyalgia rheumatica,Bumetanide
Polymyalgia rheumatica,Raloxifene (Evista)
Polymyalgia rheumatica,Latanoprost
Polymyalgia rheumatica,Amiodarone
Polymyalgia rheumatica,Tolterodine (Detrol)
Polymyalgia rheumatica,Diclofenac
Lymphedema,Silver Sulfadiazine Topical
Lymphedema,Torsemide
Lymphedema,Bevacizumab (Avastin)
Lymphedema,Silver Nitrate Topical Each
Lymphedema,Desoximetasone Topical
Lymphedema,Octreotide
Lymphedema,Pentoxifylline
Lymphedema,Miconazole Topical Product
Lymphedema,Collagenase Topical
Lymphedema,Metolazone
Lymphedema,Paclitaxel (Taxol)
Bladder cancer,Tamsulosin (Flomax)
Bladder cancer,Bcg
Bladder cancer,Gemcitabine (Gemzar)
Bladder cancer,Finasteride (Propecia)
Bladder cancer,Cisplatin
Bladder cancer,Aprepitant (Emend)
Bladder cancer,Mitomycin
Bladder cancer,Paclitaxel (Taxol)
Bladder cancer,Felodipine
Bladder cancer,Pegfilgrastim (Neulasta)
Bladder cancer,Carboplatin
Bladder cancer,Palonosetron (Aloxi)
Bladder cancer,Filgrastim (Neupogen)
Acute bronchospasm,Albuterol
Acute bronchospasm,Ipratropium
Acute bronchospasm,Prednisolone
Acute bronchospasm,Combivent
Acute bronchospasm,Levalbuterol (Xopenex)
Acute bronchospasm,Nitric Oxide
Acute bronchospasm,Arformoterol (Brovana)
